Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-05-19,73.0,77.85,71.0,72.15,72.55,210956446.0,156989.74
2017-05-22,72.65,73.45,69.65,69.9,70.15,19233222.0,13768.09
2017-05-23,69.4,69.9,66.55,68.1,68.15,14721869.0,10037.51
2017-05-24,68.5,69.45,66.4,66.7,66.65,8670873.0,5874.55
2017-05-25,67.1,72.25,66.95,70.95,70.75,13265189.0,9245.75
2017-05-26,71.0,73.25,70.55,73.15,72.95,12062826.0,8692.83
2017-05-29,73.25,74.7,72.75,73.25,73.15,8905003.0,6557.73
2017-05-30,73.25,74.0,71.55,73.1,73.0,10410782.0,7599.57
2017-05-31,72.55,73.65,71.65,73.65,73.2,5615107.0,4082.96
2017-06-01,73.2,74.25,72.5,73.0,73.0,3673826.0,2689.09
2017-06-02,73.4,73.6,72.55,73.0,73.0,3123069.0,2280.51
2017-06-05,73.0,73.3,72.0,72.0,72.2,1682821.0,1220.99
2017-06-06,72.05,72.9,71.3,71.9,71.9,2086019.0,1501.84
2017-06-07,72.0,72.25,71.3,71.35,71.55,1284804.0,921.74
2017-06-08,71.6,71.9,69.85,69.95,70.0,2299141.0,1621.73
2017-06-09,70.0,70.7,69.7,70.2,70.3,1635150.0,1148.16
2017-06-12,70.1,70.1,68.55,68.8,68.75,2136002.0,1477.83
2017-06-13,69.25,69.4,68.1,68.15,68.3,2062007.0,1417.69
2017-06-14,68.5,68.7,68.0,68.2,68.2,1103623.0,752.93
2017-06-15,68.0,70.7,68.0,69.15,69.05,2373038.0,1650.29
2017-06-16,69.4,69.7,68.35,68.45,68.55,1394334.0,960.54
2017-06-19,68.1,69.05,67.75,68.0,67.9,2181687.0,1487.21
2017-06-20,68.1,68.35,67.55,68.0,68.0,1856784.0,1261.75
2017-06-21,67.7,69.0,67.55,68.0,68.05,1745830.0,1189.33
2017-06-22,68.3,68.3,67.8,67.9,68.0,1433730.0,975.45
2017-06-23,69.6,70.0,68.25,68.55,68.55,3423901.0,2358.16
2017-06-27,68.8,68.8,66.55,67.1,66.8,1902993.0,1278.74
2017-06-28,67.1,67.2,66.0,66.15,66.1,1737873.0,1154.22
2017-06-29,66.4,68.15,66.25,67.8,67.85,1866113.0,1255.75
2017-06-30,67.15,68.1,66.7,67.2,67.1,1341896.0,902.69
2017-07-03,67.5,67.9,67.05,67.45,67.45,1022100.0,689.56
2017-07-04,67.25,68.85,67.2,67.35,67.45,1760410.0,1195.13
2017-07-05,67.5,67.9,67.2,67.75,67.65,710006.0,480.35
2017-07-06,67.7,70.35,67.65,68.7,68.7,3817920.0,2625.61
2017-07-07,68.7,69.9,68.3,69.05,69.0,2144002.0,1486.11
2017-07-10,69.4,82.8,69.0,69.55,69.5,407351.0,282.9
2017-07-11,69.75,79.8,69.6,78.95,78.45,52983772.0,40970.68
2017-07-12,81.0,92.65,81.0,90.1,90.05,104720139.0,91617.73
2017-07-13,92.3,99.75,92.0,97.5,97.7,100252333.0,96601.51
2017-07-14,99.2,102.3,88.55,89.7,90.7,106125913.0,100644.65
2017-07-17,90.5,93.9,86.8,89.7,89.65,50591166.0,45808.7
2017-07-18,88.0,91.5,86.55,86.95,87.0,18910056.0,16822.37
2017-07-19,87.75,89.15,86.6,87.2,87.2,10858237.0,9538.28
2017-07-20,87.75,91.45,86.2,90.15,90.25,29764568.0,26542.16
2017-07-21,90.75,91.65,87.75,88.75,88.65,12588587.0,11301.89
2017-07-24,89.1,89.9,87.5,87.8,87.8,9212165.0,8168.95
2017-07-25,89.0,89.45,86.2,86.35,86.4,15364923.0,13510.58
2017-07-26,86.75,86.9,83.15,83.35,83.3,10209823.0,8639.92
2017-07-27,83.75,85.45,82.35,82.85,82.7,12314817.0,10310.98
2017-07-28,82.2,84.4,80.75,82.95,83.3,19771547.0,16383.13
2017-07-31,83.4,83.55,81.4,81.6,81.8,6389486.0,5269.27
2017-08-01,82.05,82.45,80.75,81.0,81.05,4152813.0,3382.64
2017-08-02,81.3,83.3,80.8,82.5,82.65,8086692.0,6663.36
2017-08-03,82.6,83.9,81.15,81.65,81.55,5682769.0,4686.92
2017-08-04,81.7,81.8,79.55,79.85,79.9,5373958.0,4315.38
2017-08-07,80.25,84.9,80.15,84.65,84.3,15749582.0,13146.39
2017-08-08,84.9,84.9,81.65,82.0,81.85,5177438.0,4280.88
2017-08-09,81.15,81.7,80.1,80.85,80.65,4098213.0,3316.2
2017-08-10,80.5,80.5,75.0,77.2,76.8,6093546.0,4776.1
2017-08-11,75.0,78.35,74.1,77.3,77.25,6669956.0,5104.73
