Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-03-28,14.85,14.85,6.6,6.9,7.0,4770704.0,382.45
2012-03-29,6.55,7.4,6.5,6.85,6.8,964041.0,66.29
2012-03-30,7.0,7.0,6.2,6.5,6.4,650717.0,42.66
2012-04-02,6.5,6.5,5.4,5.6,5.55,1922993.0,109.76
2012-04-03,5.75,7.85,5.6,7.55,7.6,10001642.0,718.45
2012-04-04,7.6,9.75,7.1,9.15,9.25,20621372.0,1840.32
2012-04-09,9.25,9.85,8.05,9.1,8.95,11321527.0,1035.74
2012-04-10,9.15,9.5,8.25,8.75,8.85,3931559.0,353.2
2012-04-11,8.8,9.0,8.05,8.25,8.15,2743252.0,233.26
2012-04-12,8.2,9.1,8.0,8.8,8.9,4628367.0,408.06
2012-04-13,9.0,9.4,8.65,8.8,8.75,3181970.0,288.14
2012-04-16,8.5,9.25,8.2,9.05,9.05,1087839.0,97.45
2012-04-17,9.0,9.1,8.7,8.95,9.0,1266481.0,112.99
2012-04-18,8.85,9.1,8.6,8.7,8.65,952963.0,83.79
2012-04-19,8.7,8.85,8.5,8.55,8.6,662770.0,57.29
2012-04-20,8.55,9.15,8.35,8.5,8.5,1724479.0,150.95
2012-04-23,8.75,8.75,7.85,8.0,8.0,1661773.0,135.75
2012-04-24,8.1,8.1,7.8,7.85,7.85,712559.0,56.19
2012-04-25,7.95,7.95,7.55,7.6,7.65,973955.0,75.36
2012-04-26,6.5,8.3,6.5,8.3,8.1,1926494.0,153.72
2012-04-27,8.05,8.35,7.7,7.7,7.8,1394737.0,111.54
2012-04-28,7.9,7.9,7.75,7.8,7.8,69564.0,5.44
2012-04-30,7.6,8.1,7.6,8.05,7.95,700622.0,55.41
2012-05-02,7.75,8.15,7.75,8.05,7.95,582465.0,46.17
2012-05-03,8.05,8.05,7.5,7.55,7.65,548692.0,42.46
2012-05-04,7.5,7.65,7.15,7.3,7.3,697357.0,51.35
2012-05-07,7.2,7.8,6.85,7.65,7.55,907257.0,65.46
2012-05-08,7.8,7.9,7.05,7.05,7.2,643876.0,47.7
2012-05-09,7.15,7.3,7.0,7.15,7.15,363662.0,25.95
2012-05-10,7.15,7.25,6.9,7.0,6.95,392354.0,27.68
2012-05-11,6.95,7.0,6.7,6.9,6.85,448480.0,30.67
2012-05-14,6.95,6.95,6.55,6.7,6.6,359855.0,24.17
2012-05-15,6.5,7.05,6.35,6.9,6.9,849320.0,56.63
2012-05-16,6.75,6.75,6.4,6.5,6.5,455138.0,29.93
2012-05-17,6.5,6.7,6.4,6.55,6.5,256978.0,16.89
2012-05-18,6.3,6.5,6.15,6.3,6.3,633647.0,39.94
2012-05-21,6.3,6.45,6.25,6.4,6.3,209992.0,13.32
2012-05-22,6.35,6.5,6.2,6.25,6.25,373953.0,23.58
2012-05-23,6.0,6.3,6.0,6.25,6.2,415795.0,25.78
2012-05-24,6.9,6.9,6.05,6.2,6.2,676912.0,42.17
2012-05-25,6.0,6.25,6.0,6.15,6.1,376823.0,23.16
2012-05-28,6.05,6.3,6.05,6.15,6.2,542427.0,33.47
2012-05-29,6.0,6.3,6.0,6.15,6.15,521164.0,32.32
2012-05-30,6.15,6.15,5.5,5.65,5.7,1065421.0,62.14
2012-05-31,5.6,5.8,5.5,5.8,5.7,1001336.0,56.31
2012-06-01,5.7,5.85,5.35,5.45,5.4,809004.0,45.33
2012-06-04,5.4,5.8,5.3,5.65,5.7,622448.0,34.91
2012-06-05,5.75,5.85,5.55,5.55,5.6,307348.0,17.28
2012-06-06,5.65,6.0,5.5,5.7,5.8,1236880.0,70.52
2012-06-07,5.85,5.95,5.6,5.8,5.75,907418.0,52.26
2012-06-08,5.75,5.75,5.5,5.6,5.65,480489.0,26.98
2012-06-11,5.55,6.35,5.55,5.85,5.85,1898167.0,114.43
2012-06-12,5.7,6.1,5.7,5.95,6.0,785500.0,46.15
2012-06-13,6.0,6.25,5.9,6.0,6.0,1195107.0,72.93
2012-06-14,6.1,6.1,5.75,5.8,5.8,432717.0,25.65
2012-06-15,5.8,6.05,5.8,5.9,5.85,379087.0,22.46
2012-06-18,6.0,6.0,5.75,5.8,5.75,219265.0,12.81
2012-06-19,5.75,5.95,5.7,5.9,5.85,643721.0,37.28
2012-06-20,5.95,6.25,5.9,6.05,6.05,1941041.0,117.61
2012-06-21,6.0,6.15,5.9,6.1,6.0,758296.0,45.65
2012-06-22,6.0,6.45,5.9,6.3,6.25,1239416.0,76.67
2012-06-25,6.35,6.45,6.15,6.2,6.2,700921.0,44.1
2012-06-26,6.15,6.25,6.0,6.05,6.1,405303.0,24.69
2012-06-27,6.1,6.45,6.1,6.45,6.35,676764.0,42.21
2012-06-28,6.3,6.75,6.1,6.3,6.4,2146181.0,138.94
2012-06-29,6.35,6.75,6.35,6.55,6.6,787523.0,51.7
2012-07-02,6.4,6.9,6.4,6.7,6.7,702611.0,47.2
2012-07-03,6.9,7.2,6.6,6.95,6.95,1632712.0,113.63
2012-07-04,7.05,7.25,6.8,6.85,6.95,1339127.0,93.99
2012-07-05,7.0,7.95,6.9,7.7,7.75,3781835.0,284.33
2012-07-06,7.9,8.1,7.4,7.5,7.55,1969278.0,152.06
2012-07-09,7.45,7.7,7.2,7.2,7.25,814060.0,60.12
2012-07-10,7.3,7.35,7.1,7.2,7.2,646956.0,46.65
2012-07-11,7.25,7.75,7.05,7.5,7.4,945755.0,70.91
2012-07-12,7.3,7.55,7.15,7.25,7.3,732740.0,53.89
2012-07-13,7.25,7.7,7.2,7.4,7.3,887609.0,66.32
2012-07-16,8.0,8.0,7.0,7.1,7.05,738840.0,53.43
2012-07-17,7.1,7.2,6.75,6.85,6.8,660083.0,45.86
2012-07-18,6.8,6.85,6.25,6.7,6.65,1165725.0,76.35
2012-07-19,7.0,7.0,6.55,6.6,6.6,227792.0,15.17
2012-07-20,6.65,6.65,6.4,6.45,6.45,310313.0,20.12
2012-07-23,6.45,6.65,6.3,6.3,6.4,451410.0,29.23
2012-07-24,6.3,6.5,6.15,6.25,6.3,585920.0,36.95
2012-07-25,6.25,6.35,5.9,6.05,6.05,483634.0,29.34
2012-07-26,6.05,6.2,5.7,5.7,5.75,1171478.0,68.34
2012-07-27,5.85,6.15,5.0,5.45,5.35,1507238.0,84.21
2012-07-30,5.45,6.55,5.4,6.2,6.25,1228950.0,73.82
2012-07-31,7.2,7.2,5.85,6.2,6.2,472950.0,29.04
2012-08-01,6.2,6.4,6.05,6.15,6.2,443715.0,27.41
2012-08-02,6.2,6.2,6.05,6.1,6.1,149893.0,9.16
2012-08-03,6.0,6.25,5.75,6.0,6.05,855562.0,51.32
2012-08-06,6.1,6.2,6.0,6.05,6.05,211808.0,12.94
2012-08-07,6.3,6.3,5.85,5.95,5.95,323178.0,19.47
2012-08-08,6.0,6.1,5.8,5.85,5.85,243064.0,14.38
2012-08-09,5.85,6.05,5.6,5.7,5.7,506296.0,29.04
2012-08-10,5.7,5.7,5.55,5.7,5.6,321877.0,18.03
2012-08-13,5.6,5.85,5.6,5.75,5.75,144471.0,8.31
2012-08-14,5.8,5.85,5.65,5.65,5.7,169026.0,9.74
2012-08-16,5.8,5.8,5.6,5.65,5.6,152204.0,8.66
2012-08-17,5.7,5.8,5.65,5.7,5.65,195752.0,11.19
2012-08-21,5.65,5.75,5.55,5.65,5.65,162253.0,9.16
2012-08-22,5.6,5.7,5.55,5.55,5.6,112441.0,6.33
2012-08-23,5.6,5.7,5.5,5.65,5.6,178400.0,9.98
2012-08-24,5.5,5.65,5.4,5.5,5.5,229726.0,12.63
2012-08-27,5.55,5.55,5.3,5.3,5.35,229496.0,12.48
2012-08-28,5.45,5.45,5.0,5.05,5.05,433009.0,22.16
2012-08-29,4.9,5.15,4.9,4.9,4.95,396556.0,19.71
2012-08-30,5.0,5.95,4.8,5.8,5.7,1895840.0,100.83
2012-08-31,5.9,5.9,5.35,5.35,5.4,315163.0,17.44
2012-09-03,5.4,5.5,5.35,5.35,5.4,128791.0,6.99
2012-09-04,5.3,5.4,5.25,5.35,5.35,116261.0,6.17
2012-09-05,5.3,5.6,5.25,5.35,5.35,124569.0,6.76
2012-09-06,5.2,5.45,5.2,5.35,5.25,408515.0,21.59
2012-09-07,5.4,5.45,5.25,5.25,5.3,227013.0,12.12
2012-09-08,5.4,5.4,5.2,5.3,5.3,23075.0,1.22
2012-09-10,5.25,5.35,5.2,5.3,5.3,130149.0,6.87
2012-09-11,5.2,5.3,5.2,5.3,5.3,199632.0,10.48
2012-09-12,5.25,5.4,5.25,5.25,5.25,131361.0,6.97
2012-09-13,5.35,5.35,5.25,5.3,5.3,247262.0,13.13
2012-09-14,5.45,5.45,5.25,5.25,5.25,296369.0,15.75
2012-09-17,5.4,5.4,5.25,5.3,5.3,366984.0,19.44
2012-09-18,5.3,5.65,5.25,5.3,5.4,443894.0,24.01
2012-09-20,5.3,5.35,5.2,5.25,5.25,283112.0,14.91
