Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-05-14,135.0,141.75,129.0,141.75,140.0,3593615.0,4922.89
2018-05-15,133.6,145.0,133.0,141.0,141.55,693149.0,959.94
2018-05-16,140.0,140.0,136.0,136.0,136.65,346207.0,475.91
2018-05-17,129.85,136.0,129.85,130.0,130.05,289097.0,380.02
2018-05-18,126.2,132.85,123.55,123.55,123.55,204093.0,252.89
2018-05-21,117.7,129.7,117.4,129.7,128.75,241932.0,300.08
2018-05-22,129.0,131.9,124.0,127.0,127.1,166144.0,212.38
2018-05-23,123.0,132.0,122.65,129.0,128.5,183385.0,236.81
2018-05-24,133.7,134.6,124.25,134.4,134.0,375590.0,492.83
2018-05-25,131.0,138.0,131.0,138.0,135.8,76436.0,102.88
2018-05-28,137.95,139.75,131.5,134.0,135.2,192375.0,264.29
2018-05-29,135.9,135.95,131.55,135.75,134.45,97200.0,130.17
2018-05-30,135.6,135.6,130.0,131.0,132.0,51014.0,67.1
2018-05-31,131.0,132.0,128.0,130.0,130.05,186448.0,242.23
2018-06-01,131.95,131.95,123.0,124.6,125.05,114571.0,144.47
2018-06-04,123.0,124.75,116.85,122.45,121.35,147557.0,178.38
2018-06-05,120.0,120.75,111.75,120.0,118.8,167629.0,196.11
2018-06-06,118.8,123.75,118.1,119.05,119.05,66958.0,80.16
2018-06-07,120.0,129.0,119.3,127.1,127.45,79937.0,99.97
2018-06-08,127.45,128.3,123.3,127.0,127.1,68103.0,86.1
2018-06-11,127.0,128.9,125.0,128.0,127.9,111155.0,141.82
2018-06-12,128.5,130.75,125.65,129.0,129.05,172611.0,221.77
2018-06-13,129.0,129.55,127.05,128.0,128.0,155847.0,199.49
2018-06-14,127.0,131.0,125.05,128.1,127.35,69843.0,88.55
2018-06-15,128.75,134.0,126.25,133.85,132.6,113839.0,148.34
2018-06-18,134.9,136.95,131.55,135.0,135.45,220087.0,295.24
2018-06-19,136.8,136.8,130.0,131.0,130.2,156136.0,209.28
2018-06-20,130.05,133.0,128.2,131.05,131.55,106934.0,140.21
2018-06-21,130.25,131.5,128.8,131.5,130.8,181396.0,236.29
2018-06-22,130.05,130.1,126.05,127.0,127.4,35851.0,45.98
2018-06-25,127.1,128.0,125.0,126.95,126.1,99136.0,125.1
2018-06-26,126.1,133.0,124.15,125.1,126.25,141640.0,184.25
