Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-05-06,65.0,65.0,52.8,57.0,58.4,17012497.0,10233.62
2015-05-07,57.1,59.95,48.75,52.0,51.5,3803574.0,2020.13
2015-05-08,50.75,58.5,50.75,52.0,53.4,2079792.0,1158.22
2015-05-11,54.0,58.4,54.0,57.7,57.8,2879155.0,1624.6
2015-05-12,58.1,58.75,55.6,58.1,58.1,1037797.0,596.58
2015-05-13,58.0,61.75,56.8,58.25,58.7,2314174.0,1375.6
2015-05-14,59.0,60.35,57.25,60.0,58.45,1457363.0,859.96
2015-05-15,59.3,60.75,57.55,58.0,59.15,2168366.0,1274.16
2015-05-18,58.6,60.0,58.0,59.95,59.7,1089585.0,645.54
2015-05-19,59.95,62.0,58.8,61.2,61.3,1209215.0,733.84
2015-05-20,61.75,62.0,58.1,58.45,59.1,888024.0,533.81
2015-05-21,58.95,59.35,57.5,57.95,58.05,533298.0,310.7
2015-05-22,58.7,58.75,56.9,57.25,57.35,391199.0,226.23
2015-05-25,57.45,59.9,55.15,59.25,59.5,841624.0,495.63
2015-05-26,59.3,63.1,58.1,62.5,62.15,1417209.0,868.18
2015-05-27,61.55,63.5,59.6,61.3,62.7,1535455.0,952.67
2015-05-28,61.45,62.2,59.35,59.5,59.55,520057.0,315.88
2015-05-29,59.5,60.8,56.0,58.5,58.75,643175.0,378.95
2015-06-01,59.3,59.7,57.0,58.2,58.25,496586.0,290.02
2015-06-02,58.2,58.35,54.6,55.0,55.6,569389.0,322.17
2015-06-03,55.65,57.25,53.0,55.2,55.7,815274.0,457.65
2015-06-04,55.1,56.2,50.25,52.0,53.1,538817.0,290.22
2015-06-05,53.0,54.75,52.4,53.4,53.55,2155694.0,1153.27
2015-06-08,54.0,55.4,53.25,53.5,54.05,243936.0,132.7
2015-06-09,53.9,53.9,49.0,50.6,50.5,231674.0,118.6
2015-06-10,50.5,58.0,50.5,54.6,54.55,3004670.0,1686.09
2015-06-11,55.0,55.35,51.8,53.0,53.05,489840.0,261.42
2015-06-12,52.1,53.0,50.5,51.0,51.6,359642.0,187.83
2015-06-15,51.5,54.5,51.5,52.5,53.45,430542.0,229.61
2015-06-16,54.0,54.6,52.15,54.3,53.85,295648.0,158.32
2015-06-17,54.6,55.05,53.15,53.9,54.05,215849.0,117.53
2015-06-18,53.4,54.75,52.0,52.25,52.45,239821.0,127.79
2015-06-19,53.25,53.9,44.5,45.0,48.05,1478894.0,745.03
2015-06-22,48.0,57.35,47.9,55.0,56.4,2940515.0,1577.74
2015-06-23,55.1,58.1,52.2,54.0,53.35,1206601.0,671.76
2015-06-24,53.95,56.0,51.65,52.4,52.65,513272.0,275.61
2015-06-25,52.05,54.4,52.05,52.5,53.6,212970.0,114.02
2015-06-26,53.9,61.8,53.5,58.4,58.9,3098938.0,1818.26
2015-06-29,57.0,63.5,55.7,63.05,62.3,1608979.0,981.4
2015-06-30,63.3,65.0,60.4,61.1,61.4,1880991.0,1192.19
2015-07-01,61.65,64.8,60.75,61.7,63.15,1507348.0,944.82
2015-07-02,62.1,62.85,60.05,60.85,61.0,788272.0,485.0
2015-07-03,61.1,63.45,60.35,62.0,61.5,790286.0,490.96
2015-07-06,61.5,62.9,60.2,61.0,61.05,676015.0,414.44
2015-07-07,61.35,65.85,61.0,61.9,62.2,3935448.0,2495.65
2015-07-08,61.35,62.9,60.05,60.55,60.75,1008903.0,615.57
2015-07-09,61.2,62.2,57.2,60.2,59.4,393257.0,236.85
2015-07-10,60.1,61.8,59.25,60.0,59.75,299900.0,181.02
2015-07-13,60.15,61.6,59.15,59.75,59.8,742783.0,445.98
2015-07-14,60.35,60.45,58.1,59.25,59.15,1342330.0,797.54
2015-07-15,59.9,59.9,58.1,58.25,58.55,121793.0,71.65
2015-07-16,60.5,64.7,60.0,61.85,61.85,3733303.0,2351.44
2015-07-17,63.0,67.2,62.8,63.25,64.75,8317128.0,5373.35
2015-07-20,65.5,65.9,62.4,62.8,62.8,1053275.0,672.28
2015-07-21,63.25,63.25,58.1,60.6,59.8,590816.0,358.5
2015-07-22,60.4,60.95,58.2,59.9,59.7,628720.0,373.8
2015-07-23,61.0,61.8,56.85,58.5,58.5,1334475.0,784.23
2015-07-24,59.25,59.9,56.5,57.0,57.35,1357753.0,782.1
2015-07-27,57.15,58.45,55.4,57.1,57.4,760082.0,436.17
2015-07-28,57.75,58.4,56.15,56.45,56.65,799789.0,454.71
2015-07-29,56.95,58.75,56.4,56.7,56.95,933234.0,534.85
2015-07-30,57.5,58.2,56.55,56.55,56.95,624914.0,358.12
2015-07-31,56.95,57.45,56.3,56.65,56.75,576578.0,328.06
2015-08-03,57.8,58.15,56.7,57.5,57.6,478811.0,275.62
2015-08-04,57.8,58.7,56.3,56.3,56.7,1216552.0,695.65
2015-08-05,57.8,57.9,54.3,55.0,54.95,990136.0,557.65
2015-08-06,55.4,55.9,54.8,55.2,55.4,264318.0,146.3
2015-08-07,55.6,55.6,54.25,54.85,54.55,149125.0,81.59
2015-08-10,54.7,56.3,54.65,55.2,55.25,381397.0,211.91
2015-08-11,55.15,55.65,52.95,53.8,53.9,442752.0,239.24
2015-08-12,53.1,56.0,53.1,54.0,53.9,1408789.0,760.54
2015-08-13,54.95,55.25,52.4,53.2,52.75,177580.0,95.03
2015-08-14,53.75,60.85,51.0,58.8,59.95,5184840.0,2986.79
2015-08-17,58.7,60.2,55.85,56.05,56.05,763318.0,440.51
2015-08-18,56.4,57.9,54.75,55.9,55.8,500203.0,282.66
2015-08-19,56.1,58.7,55.8,56.1,56.6,681305.0,390.38
2015-08-20,56.2,57.35,53.6,54.7,54.2,226065.0,124.6
2015-08-21,53.25,54.9,51.55,52.05,52.05,469452.0,245.69
