Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-12-29,28.5,28.5,28.5,28.5,28.5,2.0,0.0
2011-12-30,28.5,28.5,28.5,28.5,28.5,11.0,0.0
2012-01-09,28.5,28.5,28.5,28.5,28.5,6.0,0.0
2012-01-19,29.9,29.9,29.9,29.9,29.9,11.0,0.0
2012-01-20,31.4,31.4,31.4,31.4,31.4,12.0,0.0
2012-01-23,32.95,32.95,32.95,32.95,32.95,8.0,0.0
2012-01-24,34.6,34.6,34.6,34.6,34.6,129.0,0.04
2012-01-25,36.3,36.3,36.3,36.3,36.3,2.0,0.0
2012-01-27,37.5,37.5,37.5,37.5,37.5,2.0,0.0
2012-01-30,36.0,36.0,35.65,35.65,35.65,112.0,0.04
2012-02-01,34.0,34.0,34.0,34.0,34.0,100.0,0.03
2012-02-07,34.05,35.7,34.0,35.7,35.7,120.0,0.04
2012-02-10,37.0,37.0,37.0,37.0,37.0,1.0,0.0
2012-02-13,37.0,37.0,37.0,37.0,37.0,220.0,0.08
2012-02-14,35.9,35.9,35.85,35.85,35.85,110.0,0.04
2012-02-15,37.05,37.05,37.0,37.0,37.0,110.0,0.04
2012-02-17,35.25,35.25,35.2,35.2,35.2,110.0,0.04
2012-02-21,35.65,35.65,35.65,35.65,35.65,110.0,0.03
2012-02-23,36.0,36.0,35.5,35.5,35.5,25.0,0.0
2012-03-02,33.8,36.95,33.75,36.95,36.95,119.0,0.04
2012-04-20,32.0,33.6,31.0,33.6,32.85,245.0,0.08
2012-04-24,33.0,33.0,33.0,33.0,33.0,5.0,0.0
2012-07-23,30.0,30.0,28.6,28.6,28.6,120.0,0.04
2012-07-24,28.05,30.0,28.05,30.0,30.0,200.0,0.06
2012-07-25,31.5,31.5,31.5,31.5,31.5,340.0,0.11
2012-08-27,29.9,29.9,29.9,29.9,29.9,114.0,0.03
2012-08-28,31.35,31.35,31.35,31.35,31.35,200.0,0.06
2012-08-29,32.9,32.9,29.9,29.9,29.9,570.0,0.18
2012-08-30,31.25,31.25,31.25,31.25,31.25,4.0,0.0
2012-08-31,31.0,31.25,31.0,31.25,31.25,113.0,0.04
2012-09-03,31.25,31.25,31.25,31.25,31.25,1.0,0.0
2012-09-06,31.25,31.25,31.25,31.25,31.25,100.0,0.03
2012-09-20,29.6,29.6,29.6,29.6,29.6,110.0,0.03
2012-09-21,29.65,29.65,29.65,29.65,29.65,10.0,0.0
2012-10-10,31.25,31.25,31.25,31.25,31.25,110.0,0.03
2012-10-22,32.9,32.9,32.9,32.9,32.9,320.0,0.11
2012-10-23,32.9,34.3,32.9,34.3,34.3,314.0,0.1
2012-11-15,31.7,33.25,31.7,33.25,31.7,111.0,0.04
2012-11-20,30.2,30.2,30.2,30.2,30.2,115.0,0.03
2012-11-22,28.7,28.75,28.7,28.75,28.75,214.0,0.06
2012-11-23,27.8,27.8,27.8,27.8,27.8,122.0,0.03
2012-11-26,26.45,27.85,26.45,27.85,27.85,11.0,0.0
2012-11-29,26.75,27.05,26.75,27.05,27.05,112.0,0.03
2012-12-07,27.25,28.4,27.25,28.4,28.4,220.0,0.06
2012-12-11,29.8,29.8,29.8,29.8,29.8,1.0,0.0
2012-12-12,31.25,31.25,31.25,31.25,31.25,1.0,0.0
2012-12-14,30.3,30.3,30.3,30.3,30.3,1.0,0.0
2012-12-18,30.3,30.3,30.3,30.3,30.3,10.0,0.0
2012-12-26,29.0,29.35,29.0,29.35,29.05,11.0,0.0
2012-12-27,29.05,29.05,29.05,29.05,29.05,25.0,0.01
2013-01-03,30.5,30.5,30.5,30.5,30.5,111.0,0.03
2013-01-04,32.0,32.0,32.0,32.0,32.0,1.0,0.0
2013-01-07,33.6,33.6,33.6,33.6,33.6,110.0,0.04
2013-01-14,35.25,35.25,35.25,35.25,35.25,100.0,0.04
2013-01-17,37.0,37.0,37.0,37.0,37.0,220.0,0.08
2013-01-18,38.85,38.85,38.85,38.85,38.85,110.0,0.04
2013-01-22,40.75,40.75,40.75,40.75,40.75,114.0,0.05
2013-01-23,42.75,42.75,42.75,42.75,42.75,1.0,0.0
2013-01-24,44.85,44.85,44.85,44.85,44.85,130.0,0.06
2013-01-25,47.05,47.05,47.05,47.05,47.05,59.0,0.03
2013-01-28,49.4,49.4,49.4,49.4,49.4,110.0,0.05
2013-01-29,51.85,51.85,51.85,51.85,51.85,55.0,0.03
2013-01-30,54.4,54.4,51.1,54.0,53.95,2011.0,1.08
2013-01-31,56.6,56.6,53.0,53.0,53.0,125.0,0.07
2013-02-01,54.85,54.85,51.0,51.0,51.05,21.0,0.01
2013-02-11,47.45,47.45,47.45,47.45,47.45,1.0,0.0
2013-02-26,38.0,38.0,38.0,38.0,38.0,110.0,0.04
2013-02-27,36.1,36.1,36.1,36.1,36.1,223.0,0.08
2013-03-01,36.1,36.1,36.1,36.1,36.1,26.0,0.01
2013-03-15,35.8,35.8,35.8,35.8,35.8,104.0,0.04
2013-03-19,34.15,34.15,34.15,34.15,34.15,20.0,0.01
2013-03-22,32.45,32.45,32.45,32.45,32.45,37.0,0.01
2013-03-26,31.0,31.0,31.0,31.0,31.0,26.0,0.01
2013-04-03,29.65,29.75,29.65,29.75,29.75,700.0,0.21
2013-04-05,30.1,30.1,30.1,30.1,30.1,3.0,0.0
2014-01-13,25.75,25.75,25.75,25.75,25.75,5.0,0.0
2014-01-14,25.0,25.05,25.0,25.05,25.05,230.0,0.06
2014-01-15,24.8,24.8,24.8,24.8,24.8,28.0,0.01
2014-01-16,24.8,24.8,24.8,24.8,24.8,20.0,0.0
2014-01-17,24.2,24.2,24.2,24.2,24.2,770.0,0.19
2014-01-21,25.4,25.4,25.4,25.4,25.4,90.0,0.02
2014-01-23,25.0,25.25,25.0,25.25,25.25,1610.0,0.4
2014-01-27,24.05,24.05,24.05,24.05,24.05,200.0,0.05
2014-01-28,23.15,23.15,23.15,23.15,23.15,75.0,0.02
2014-01-31,24.3,24.3,24.3,24.3,24.3,120.0,0.03
2014-02-07,25.5,25.5,25.5,25.5,25.5,1500.0,0.38
2014-02-14,26.6,26.6,26.6,26.6,26.6,5.0,0.0
2014-02-20,25.3,27.65,25.3,27.65,27.65,125.0,0.03
2014-02-21,28.65,28.65,28.65,28.65,28.65,10.0,0.0
2014-03-18,27.25,27.25,27.25,27.25,27.25,1.0,0.0
2014-03-19,26.3,26.9,26.3,26.9,26.9,6.0,0.0
2014-03-20,25.95,25.95,25.95,25.95,25.95,1.0,0.0
2014-03-21,25.65,25.65,24.9,24.9,24.9,220.0,0.06
2014-03-26,25.25,26.0,24.1,25.7,25.65,911.0,0.23
2014-03-27,25.1,25.1,24.5,24.5,24.6,65.0,0.02
2014-03-28,23.65,25.8,23.65,25.8,25.8,210.0,0.05
2014-03-31,24.95,26.8,24.95,26.8,26.8,444.0,0.11
2014-04-01,25.55,26.8,25.5,26.8,26.75,1214.0,0.32
2014-04-02,28.05,28.05,25.55,28.0,28.0,355.0,0.1
2014-04-03,27.95,27.95,27.95,27.95,27.95,10.0,0.0
2014-04-04,29.3,29.3,29.2,29.2,29.2,170.0,0.05
2014-04-07,29.3,29.3,29.2,29.2,29.25,150.0,0.04
2014-04-09,27.8,30.7,27.8,30.7,30.7,200.0,0.06
2014-04-10,30.7,32.2,29.3,32.2,32.2,223.0,0.07
2014-04-11,30.6,33.8,30.6,33.8,33.8,90.0,0.03
2014-04-15,32.15,32.15,32.15,32.15,32.15,110.0,0.04
2014-04-16,32.3,32.3,30.6,30.6,31.25,439.0,0.14
2014-04-17,29.75,30.75,29.75,30.75,30.75,360.0,0.11
2014-04-22,30.8,30.8,30.75,30.75,30.75,100.0,0.03
2014-04-23,29.65,31.6,29.65,31.45,31.45,4225.0,1.29
2014-04-25,32.3,32.3,32.3,32.3,32.3,10.0,0.0
2014-05-12,29.1,31.95,29.1,31.95,31.95,1180.0,0.37
2014-05-13,28.9,35.0,28.9,28.9,28.9,5896.0,1.83
2014-05-14,30.95,30.95,26.1,27.7,29.8,760.0,0.23
2014-05-15,32.6,32.6,27.2,27.7,27.7,436.0,0.13
2014-05-16,28.45,29.0,28.45,29.0,29.0,520.0,0.15
2014-05-19,26.6,26.6,26.6,26.6,26.6,110.0,0.03
2014-05-20,27.25,29.25,27.25,29.25,29.25,420.0,0.12
2014-05-21,32.15,32.15,31.5,32.15,32.15,880.0,0.28
2014-05-22,32.15,35.25,32.15,35.0,33.85,1569.0,0.53
2014-05-23,35.0,35.0,35.0,35.0,35.0,1000.0,0.35
2014-05-26,35.5,36.65,35.45,35.55,35.55,3148.0,1.12
2014-05-27,34.0,35.9,34.0,35.8,34.95,2300.0,0.8
2014-05-28,36.15,36.15,36.15,36.15,36.15,200.0,0.07
2014-05-29,36.5,36.5,34.35,36.45,36.4,3345.0,1.21
2014-05-30,37.95,37.95,34.6,36.4,36.3,1502.0,0.53
2014-06-02,36.2,36.2,36.2,36.2,36.2,1100.0,0.4
2014-06-03,35.8,38.0,35.5,35.65,37.2,4689.0,1.74
2014-06-04,36.0,36.0,35.35,35.35,35.35,315.0,0.11
2014-06-05,34.25,36.7,34.05,36.45,36.4,5684.0,1.98
2014-06-06,34.6,36.95,34.6,36.8,36.0,740.0,0.26
2014-06-09,35.5,36.1,34.5,34.7,34.7,3886.0,1.38
2014-06-10,35.0,35.9,34.3,35.9,35.85,1505.0,0.52
2014-06-11,35.5,35.6,35.1,35.1,35.1,610.0,0.22
2014-06-12,35.2,35.45,35.1,35.1,35.1,720.0,0.25
2014-06-13,35.1,36.45,34.35,34.4,34.4,221.0,0.08
2014-06-16,34.45,34.45,34.45,34.45,34.45,110.0,0.04
2014-06-17,35.25,36.15,34.5,36.0,35.85,3897.0,1.38
2014-06-18,35.85,35.85,34.9,34.9,35.35,553.0,0.2
2014-06-19,35.05,36.25,34.05,36.2,36.2,2072.0,0.73
2014-06-20,37.0,37.5,35.2,36.0,35.45,8234.0,3.01
2014-06-23,35.4,36.75,35.3,36.75,36.45,10053.0,3.61
2014-06-24,37.3,37.3,36.55,37.2,37.15,1857.0,0.69
2014-06-25,36.25,38.95,36.25,38.0,38.3,6526.0,2.5
2014-06-26,38.5,38.5,37.05,37.85,37.5,7209.0,2.7
2014-06-27,36.0,36.0,34.0,35.0,34.05,270.0,0.09
2014-06-30,33.0,34.65,33.0,34.4,33.35,1656.0,0.55
2014-07-01,33.1,34.6,33.1,34.6,34.6,365.0,0.12
2014-07-02,33.2,35.15,33.2,35.0,35.0,734.0,0.25
2014-07-03,34.95,34.95,34.95,34.95,34.95,200.0,0.07
2014-07-04,35.0,35.0,33.25,33.95,33.95,755.0,0.25
2014-07-07,34.0,34.1,33.5,34.1,34.1,1675.0,0.57
2014-07-08,34.0,34.0,33.55,33.55,33.55,2175.0,0.74
2014-07-09,34.2,34.2,31.25,31.25,31.25,20.0,0.01
2014-07-11,31.5,31.5,31.5,31.5,31.5,150.0,0.05
2014-07-15,33.5,33.85,30.1,30.1,30.1,202.0,0.07
2014-07-17,31.5,32.1,31.5,32.1,32.1,210.0,0.07
2014-07-18,31.05,34.85,31.05,33.9,33.9,270.0,0.09
2014-07-21,33.9,33.9,32.15,32.15,32.15,115.0,0.04
2014-07-23,34.95,35.0,31.75,32.15,34.5,3197.0,1.11
2014-07-24,37.95,37.95,34.5,36.5,36.5,318.0,0.11
2014-07-25,38.95,38.95,34.0,36.55,36.5,5848.0,2.15
2014-07-28,36.05,37.9,34.05,37.9,36.4,7154.0,2.58
2014-07-30,37.0,37.0,36.0,36.0,36.0,5237.0,1.89
2014-07-31,37.0,38.9,37.0,38.9,38.9,4337.0,1.62
2014-08-01,37.5,37.5,36.0,37.0,37.0,630.0,0.23
2014-08-04,34.55,39.5,34.55,39.35,39.35,5.0,0.0
2014-08-05,37.0,38.8,37.0,38.8,38.8,700.0,0.26
2014-08-06,38.25,38.25,34.7,37.0,34.95,2485.0,0.91
2014-08-07,38.85,38.85,34.6,38.6,38.6,1109.0,0.39
2014-08-08,37.0,37.9,33.85,37.9,37.3,135.0,0.05
2014-08-12,36.95,36.95,35.0,36.0,36.0,2301.0,0.83
2014-08-13,39.0,39.0,35.1,38.65,38.65,2402.0,0.87
2014-08-14,36.0,36.0,35.3,36.0,35.65,100.0,0.04
2014-08-18,36.0,38.35,36.0,38.35,38.1,111.0,0.04
2014-08-19,38.35,38.35,38.35,38.35,38.35,199.0,0.08
2014-08-20,38.0,38.0,33.7,33.7,35.4,522.0,0.2
2014-08-21,36.0,36.1,34.65,36.0,36.0,355.0,0.13
2014-08-22,35.3,38.0,35.25,38.0,38.0,2655.0,0.97
2014-08-25,38.95,40.0,36.3,38.75,38.45,7050.0,2.74
2014-08-26,38.15,38.15,38.15,38.15,38.15,10.0,0.0
2014-08-27,36.05,37.95,35.05,37.95,35.65,2399.0,0.87
2014-09-01,37.45,37.45,34.5,36.4,34.5,815.0,0.28
2014-09-02,37.5,37.5,37.5,37.5,37.5,5.0,0.0
2014-09-03,36.0,37.95,35.5,37.95,37.95,1006.0,0.36
2014-09-04,36.75,39.85,35.15,35.15,35.15,6812.0,2.57
2014-09-05,35.8,38.6,35.8,37.0,36.95,7463.0,2.78
2014-09-08,37.0,38.0,36.0,38.0,38.0,991.0,0.37
2014-09-09,36.85,45.6,36.85,45.6,45.6,21790.0,9.66
2014-09-10,50.0,54.7,48.0,54.4,54.45,86215.0,46.3
2014-09-11,55.1,56.4,52.0,54.5,54.65,47768.0,26.02
2014-09-12,59.0,59.0,52.0,54.0,53.45,21023.0,11.45
2014-09-15,54.0,54.8,51.5,51.5,52.05,8176.0,4.33
2014-09-16,48.65,51.95,46.85,46.85,46.85,4053.0,1.99
2014-09-17,44.25,50.25,44.25,49.35,48.15,7765.0,3.68
2014-09-18,48.75,51.5,47.0,51.5,50.95,5128.0,2.59
2014-09-19,53.75,53.8,48.55,48.55,49.7,6899.0,3.54
2014-09-22,50.0,50.0,47.75,48.0,48.95,1187.0,0.58
2014-09-23,46.8,48.8,46.8,47.1,47.4,2261.0,1.07
2014-09-24,43.2,48.4,43.2,47.0,47.0,3328.0,1.57
2014-09-25,47.0,48.45,45.35,48.45,48.05,2406.0,1.12
