Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-28,227.9,240.0,222.0,223.1,227.4,16583.0,37.88
2015-01-29,220.0,230.0,215.05,215.05,215.05,5117.0,11.46
2015-01-30,211.05,213.0,211.05,211.15,211.15,200.0,0.42
2015-02-02,212.3,225.0,212.3,220.0,220.0,530.0,1.15
2015-02-03,223.5,230.0,222.1,229.9,228.6,1762.0,4.01
2015-02-04,223.15,231.0,223.15,231.0,230.95,4347.0,9.97
2015-02-05,230.95,236.0,229.2,236.0,234.2,1613.0,3.75
2015-02-06,224.25,230.0,219.05,220.0,220.0,2846.0,6.31
2015-02-09,206.0,235.0,206.0,212.05,212.45,2593.0,5.59
2015-02-10,213.5,216.0,208.0,210.0,210.0,3223.0,6.83
2015-02-11,210.0,221.3,210.0,221.0,221.05,1574.0,3.43
2015-02-12,224.0,224.0,210.3,223.9,223.9,1118.0,2.46
2015-02-13,220.0,220.0,215.0,215.2,216.55,926.0,2.02
2015-02-16,230.0,249.0,230.0,239.0,235.35,17953.0,42.87
2015-02-18,248.5,277.45,240.0,270.0,265.65,35966.0,91.44
2015-02-19,277.0,294.0,272.65,287.5,286.95,35366.0,99.93
2015-02-20,261.0,299.8,261.0,294.25,296.7,15456.0,45.57
2015-02-23,306.95,325.0,297.0,297.0,301.4,31831.0,99.03
2015-02-24,309.8,310.0,286.6,305.0,300.55,14417.0,43.08
2015-02-25,318.35,318.35,287.05,293.5,292.55,3686.0,10.9
2015-02-26,288.0,296.1,285.05,290.0,288.45,1412.0,4.09
2015-02-27,289.5,289.5,277.05,283.0,281.1,6286.0,17.69
2015-02-28,283.0,288.0,275.5,284.8,280.65,1389.0,3.87
2015-03-02,275.05,292.0,275.05,292.0,289.35,2883.0,8.24
2015-03-03,298.6,298.6,285.0,288.0,291.05,2342.0,6.77
2015-03-04,288.0,305.0,288.0,291.0,290.5,6061.0,18.0
2015-03-05,286.05,295.0,285.0,290.7,289.7,2861.0,8.28
2015-03-09,282.0,289.5,271.1,282.0,282.2,1287.0,3.63
2015-03-10,288.8,289.5,267.2,274.5,271.05,4375.0,12.14
2015-03-11,289.5,289.5,266.0,268.6,273.65,2387.0,6.52
2015-03-12,270.0,279.9,251.1,273.95,272.6,3130.0,8.46
2015-03-13,267.45,271.95,266.0,268.0,269.05,2003.0,5.36
2015-03-16,280.0,290.0,267.05,270.0,271.15,4776.0,13.23
2015-03-17,275.0,281.0,272.0,273.0,275.95,2793.0,7.75
2015-03-18,284.75,284.75,260.0,260.0,264.55,4998.0,13.39
2015-03-19,265.2,276.0,265.2,275.6,271.5,2721.0,7.39
2015-03-20,266.0,273.0,260.0,265.8,262.8,1966.0,5.22
2015-03-23,272.4,272.4,251.5,262.8,262.05,841.0,2.22
2015-03-24,263.45,267.3,255.15,263.0,260.15,4078.0,10.68
2015-03-25,255.1,266.45,254.1,266.25,262.05,2839.0,7.31
2015-03-26,264.0,265.0,253.0,260.0,258.95,1222.0,3.18
2015-03-27,264.0,300.0,258.0,263.0,265.5,9084.0,25.12
2015-03-30,275.0,318.6,275.0,318.6,318.6,41929.0,127.74
2015-03-31,333.6,359.0,321.1,330.0,330.65,96714.0,327.99
2015-04-01,332.0,335.7,315.1,315.1,319.5,16089.0,52.15
2015-04-06,303.0,349.9,303.0,341.0,343.0,50208.0,171.49
2015-04-07,344.95,344.95,335.05,339.0,340.0,9803.0,33.47
