Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-07-05,145.0,154.0,144.0,146.95,146.3,100709.0,149.02
2011-07-06,136.0,151.6,136.0,145.0,144.7,18001.0,26.34
2011-07-07,142.05,147.0,142.05,143.6,144.55,3563.0,5.17
2011-07-08,142.3,143.0,139.5,143.0,140.2,2294.0,3.23
2011-07-11,149.0,149.0,135.65,140.0,138.8,3054.0,4.3
2011-07-12,136.15,137.0,136.15,137.0,137.0,14.0,0.02
2011-07-13,134.0,138.9,134.0,136.0,136.05,829.0,1.13
2011-07-14,136.1,136.9,134.0,136.0,136.0,1977.0,2.69
2011-07-15,134.15,135.35,133.5,135.25,135.25,252.0,0.34
2011-07-18,136.55,136.6,136.55,136.6,136.6,180.0,0.25
2011-07-19,133.5,136.7,133.5,135.2,135.2,660.0,0.89
2011-07-20,134.2,137.0,134.2,137.0,137.0,1092.0,1.5
2011-07-21,134.3,138.0,134.3,138.0,138.0,23.0,0.03
2011-07-22,139.9,139.95,134.05,134.05,135.75,182.0,0.25
2011-07-25,132.4,135.15,132.1,135.1,135.1,550.0,0.74
2011-07-26,134.0,134.5,134.0,134.2,134.2,107.0,0.14
2011-07-27,134.2,134.2,134.0,134.0,134.0,149.0,0.2
2011-07-28,133.05,136.85,132.15,132.15,132.35,550.0,0.74
2011-07-29,132.1,138.6,132.1,133.25,133.25,280.0,0.38
2011-08-01,131.1,131.1,131.1,131.1,131.1,20.0,0.03
2011-08-02,131.0,131.0,126.15,126.15,126.25,216.0,0.27
2011-08-03,126.15,126.8,122.2,124.05,125.3,103.0,0.13
2011-08-04,125.0,134.0,125.0,127.1,127.1,299.0,0.38
2011-08-05,122.0,125.0,120.25,122.0,122.0,220.0,0.27
2011-08-08,121.5,121.5,117.0,120.0,120.0,681.0,0.81
2011-08-09,117.0,117.0,112.05,114.0,114.0,478.0,0.54
2011-08-10,120.0,120.0,115.2,115.2,115.2,90.0,0.1
2011-08-11,112.05,117.95,112.05,114.1,113.85,303.0,0.35
2011-08-12,118.0,118.0,114.1,117.8,115.95,15.0,0.02
2011-08-16,111.7,117.4,111.7,117.4,117.4,22.0,0.02
2011-08-17,120.0,120.0,110.0,110.0,110.05,673.0,0.74
2011-08-18,121.95,121.95,107.45,108.0,108.0,51.0,0.06
2011-08-19,108.0,108.0,104.0,104.0,106.8,611.0,0.65
2011-08-22,104.0,106.0,98.0,100.15,104.9,563.0,0.59
2011-08-23,106.0,106.0,98.4,102.0,102.0,147.0,0.15
2011-08-24,101.0,101.0,97.8,100.8,99.25,973.0,0.97
2011-08-25,100.0,100.0,100.0,100.0,100.0,5.0,0.0
2011-08-26,100.0,100.0,96.1,96.2,96.2,412.0,0.4
2011-08-29,100.0,103.0,99.9,99.9,99.9,202.0,0.21
2011-08-30,97.1,100.0,97.1,100.0,100.0,2.0,0.0
2011-09-02,100.0,100.0,100.0,100.0,100.0,1.0,0.0
2011-09-05,100.0,100.0,95.45,96.3,96.3,110.0,0.11
2011-09-06,100.0,100.0,100.0,100.0,100.0,1.0,0.0
2011-09-07,98.0,103.0,98.0,101.0,102.0,1200.0,1.22
2011-09-08,104.5,110.0,104.5,106.75,106.75,839.0,0.91
2011-09-09,106.75,107.0,106.0,107.0,107.0,192.0,0.2
2011-09-12,112.8,112.8,103.6,103.6,103.65,65.0,0.07
2011-09-13,101.55,105.0,101.55,105.0,105.0,200.0,0.21
2011-09-14,100.0,101.0,100.0,101.0,101.0,21.0,0.02
2011-09-15,101.0,101.0,101.0,101.0,101.0,500.0,0.5
2011-09-16,102.95,102.95,100.0,100.0,100.0,700.0,0.71
2011-09-19,101.0,101.0,97.25,98.05,98.05,407.0,0.41
2011-09-20,98.1,98.1,98.1,98.1,98.1,5.0,0.0
2011-09-21,101.9,102.0,101.0,101.0,101.0,714.0,0.73
2011-09-22,100.0,100.0,97.15,97.15,97.6,201.0,0.2
2011-09-23,93.05,98.0,85.0,95.0,95.05,2749.0,2.46
2011-09-29,93.1,93.1,93.1,93.1,93.1,61.0,0.06
2011-09-30,95.0,95.0,93.25,93.25,93.25,51.0,0.05
2011-10-03,92.0,97.7,91.1,92.15,92.15,1096.0,1.04
2011-10-04,98.0,98.0,91.0,98.0,98.0,400.0,0.38
2011-10-05,95.0,95.0,90.1,92.5,92.5,103.0,0.1
2011-10-07,91.0,101.0,91.0,96.0,96.0,2948.0,2.91
2011-10-10,96.0,101.25,96.0,99.9,99.9,627.0,0.61
2011-10-11,98.0,99.9,97.0,99.9,99.8,105.0,0.1
2011-10-12,101.0,101.9,97.0,97.0,97.05,240.0,0.24
2011-10-13,95.0,101.95,95.0,101.95,98.45,2.0,0.0
2011-10-14,97.65,97.65,97.4,97.4,97.4,600.0,0.59
2011-10-17,103.0,104.0,101.4,101.4,101.4,125.0,0.13
2011-10-18,100.0,100.0,96.2,96.2,96.2,2.0,0.0
2011-10-20,96.05,96.05,96.05,96.05,96.05,1.0,0.0
2011-10-21,95.65,95.65,95.65,95.65,95.65,1.0,0.0
2011-10-24,100.0,100.0,93.5,96.0,96.0,1522.0,1.47
2011-10-25,94.0,102.3,93.1,102.3,100.9,613.0,0.6
2011-10-26,105.4,105.4,96.0,98.0,97.95,71.0,0.07
2011-10-28,108.1,108.1,108.1,108.1,108.1,40.0,0.04
2011-10-31,105.0,105.0,100.25,100.25,100.25,2.0,0.0
2011-11-01,99.5,100.0,99.5,100.0,100.0,152.0,0.15
2011-11-02,102.0,102.0,102.0,102.0,102.0,49.0,0.05
2011-11-03,99.1,99.1,99.1,99.1,99.1,2.0,0.0
2011-11-04,100.2,102.0,100.1,102.0,102.0,163.0,0.17
2011-11-08,104.95,104.95,104.0,104.0,104.0,2.0,0.0
2011-11-11,100.0,106.5,97.1,100.0,100.0,258.0,0.26
2011-11-14,100.0,102.0,98.0,98.0,98.4,922.0,0.93
2011-11-15,97.05,97.5,97.05,97.5,97.5,901.0,0.88
2011-11-16,97.05,97.05,95.05,95.05,95.05,55.0,0.05
2011-11-17,95.05,95.05,95.0,95.0,95.0,148.0,0.14
2011-11-18,91.0,91.0,91.0,91.0,91.0,18.0,0.02
2011-11-22,85.05,85.05,85.05,85.05,85.05,1.0,0.0
2011-11-23,85.0,85.0,85.0,85.0,85.0,150.0,0.13
2011-11-28,102.0,102.0,94.65,95.85,95.85,927.0,0.9
2011-11-29,90.0,98.9,90.0,91.1,91.8,432.0,0.4
2011-11-30,87.55,95.0,87.55,92.0,90.5,1802.0,1.6
2011-12-01,95.0,95.0,95.0,95.0,95.0,2.0,0.0
2011-12-02,94.0,95.0,94.0,95.0,95.0,240.0,0.23
2011-12-07,95.05,95.05,95.05,95.05,95.05,200.0,0.19
2011-12-08,91.3,99.85,91.3,94.0,94.0,203.0,0.19
2011-12-09,91.15,91.2,91.15,91.2,91.2,155.0,0.14
2011-12-12,97.95,100.0,94.65,94.95,94.65,1709.0,1.67
2011-12-14,92.0,92.0,90.5,90.5,90.5,50.0,0.05
