Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-03-09,163.0,173.9,162.0,168.4,168.4,115.0,0.19
2015-03-10,198.0,198.0,163.0,168.9,166.1,12886.0,22.38
2015-03-11,169.9,171.75,164.0,165.0,165.0,687.0,1.15
2015-03-12,161.05,170.0,161.05,164.0,164.0,1862.0,3.08
2015-03-13,163.1,165.9,156.0,157.95,156.45,5821.0,9.31
2015-03-16,156.5,156.5,146.05,148.0,148.15,5829.0,8.78
2015-03-17,146.0,154.0,146.0,150.0,148.4,2952.0,4.43
2015-03-18,152.0,152.0,145.0,145.3,146.7,3054.0,4.49
2015-03-19,150.0,151.0,146.0,146.1,147.45,6549.0,9.84
2015-03-20,152.0,155.0,145.1,149.9,146.95,8957.0,13.35
2015-03-23,146.95,149.85,140.05,145.05,145.05,6962.0,10.12
2015-03-24,143.15,148.9,143.0,145.1,147.25,47589.0,68.13
2015-03-25,143.15,148.8,143.1,146.0,146.0,72951.0,106.51
2015-03-26,144.0,145.0,140.0,141.0,141.85,10702.0,15.14
2015-03-27,142.1,145.0,135.0,145.0,144.05,4497.0,6.24
2015-03-30,144.9,149.5,144.45,146.1,145.45,36889.0,53.67
2015-03-31,147.0,148.0,143.1,147.95,145.95,528.0,0.77
2015-04-01,144.0,162.9,144.0,157.1,159.5,9929.0,15.63
2015-04-06,174.7,174.7,152.5,155.1,156.55,9073.0,14.47
2015-04-07,160.0,160.0,156.0,158.0,159.2,52471.0,82.15
2015-04-08,157.3,160.2,156.25,160.2,160.2,16029.0,25.58
2015-04-09,159.9,160.0,153.0,155.0,155.0,11720.0,18.47
2015-04-10,159.9,159.9,156.0,159.0,158.95,2855.0,4.51
2015-04-13,159.0,164.8,158.4,163.9,163.65,10298.0,16.81
2015-04-15,161.0,189.65,160.5,179.0,183.4,65130.0,116.58
2015-04-16,185.7,187.0,170.5,177.0,177.3,23829.0,42.3
2015-04-17,178.0,181.0,176.1,177.0,177.5,8336.0,14.86
2015-04-20,175.0,179.0,164.05,166.0,166.2,8423.0,14.52
2015-04-21,163.0,172.15,163.0,168.25,168.25,5101.0,8.67
2015-04-22,170.0,170.0,156.1,159.25,162.4,8610.0,13.99
2015-04-23,165.0,169.7,162.1,169.65,167.3,3742.0,6.24
2015-04-24,164.0,165.0,150.0,156.0,154.0,15144.0,24.24
2015-04-27,156.0,156.0,145.6,146.0,146.95,4399.0,6.54
2015-04-28,147.0,152.75,143.6,151.0,149.3,6538.0,9.63
2015-04-29,174.0,174.0,150.0,152.0,153.05,1056.0,1.63
2015-04-30,152.95,159.0,152.0,155.1,157.4,4248.0,6.66
2015-05-04,157.4,159.9,151.1,156.0,155.6,13456.0,20.92
2015-05-05,165.0,165.0,153.75,158.0,156.1,1797.0,2.81
2015-05-06,150.0,177.5,144.1,148.0,145.65,6626.0,9.84
2015-05-07,149.0,153.95,142.5,143.0,144.9,4983.0,7.18
2015-05-08,147.0,153.0,147.0,147.0,148.95,10446.0,15.57
2015-05-11,150.0,155.0,148.5,154.5,154.4,6362.0,9.6
2015-05-12,153.0,153.0,141.1,144.0,144.65,4728.0,6.87
2015-05-13,142.4,154.95,142.4,152.0,151.2,2436.0,3.65
2015-05-14,151.5,157.5,150.0,155.0,156.05,7618.0,11.81
2015-05-15,157.05,160.5,154.15,158.0,156.6,17377.0,27.37
2015-05-18,158.05,160.0,155.0,160.0,159.15,6091.0,9.54
2015-05-19,181.4,181.4,156.05,162.5,162.65,13137.0,21.52
2015-05-20,163.0,171.95,160.1,162.0,162.8,20382.0,33.76
2015-05-21,167.0,169.4,161.05,162.05,162.85,4946.0,8.12
2015-05-22,164.2,168.5,162.0,167.4,166.5,9287.0,15.33
2015-05-25,165.0,168.9,158.0,163.0,161.45,12685.0,20.64
2015-05-26,161.4,162.0,151.95,154.7,152.45,5339.0,8.28
2015-05-27,151.0,157.95,143.25,155.05,155.05,9700.0,14.77
2015-05-28,151.95,157.0,151.95,154.0,153.9,5629.0,8.66
2015-05-29,152.0,155.75,151.25,155.0,155.0,4429.0,6.84
2015-06-01,151.0,156.0,150.7,151.1,151.1,6106.0,9.38
2015-06-02,163.4,164.0,150.5,152.0,151.1,4244.0,6.45
2015-06-03,150.05,151.0,147.05,150.9,150.5,7980.0,11.85
2015-06-04,149.75,153.95,149.0,152.0,150.3,32289.0,48.47
2015-06-05,150.55,152.65,150.55,151.6,152.1,1264.0,1.92
2015-06-08,155.8,155.8,150.05,152.0,151.95,7116.0,10.8
2015-06-09,150.05,150.05,148.95,149.0,149.0,10632.0,15.87
2015-06-10,149.05,153.5,149.0,150.5,150.25,2504.0,3.79
2015-06-11,149.2,151.45,147.0,149.4,148.35,3653.0,5.43
2015-06-12,146.05,152.9,146.05,152.9,150.6,4274.0,6.4
2015-06-15,150.05,156.0,150.0,155.0,155.05,7531.0,11.52
2015-06-16,151.95,156.0,151.95,156.0,155.05,6232.0,9.65
2015-06-17,155.05,158.95,155.05,158.75,156.9,2927.0,4.6
2015-06-18,156.05,159.0,137.95,156.5,156.4,2296.0,3.55
2015-06-19,155.05,159.8,151.0,158.0,157.5,6325.0,9.75
2015-06-22,155.0,157.8,151.0,151.0,151.75,13969.0,21.49
2015-06-23,163.7,163.7,150.1,152.0,151.75,2085.0,3.2
2015-06-24,151.95,153.0,149.25,153.0,152.4,4872.0,7.41
2015-06-25,150.4,154.7,150.0,151.4,151.4,10705.0,16.19
2015-06-26,153.0,155.0,150.0,151.0,150.65,12188.0,18.44
2015-06-29,148.2,152.5,148.0,152.5,150.35,2120.0,3.16
2015-06-30,150.0,154.5,148.2,151.0,150.9,8353.0,12.64
2015-07-01,160.0,160.0,149.0,155.0,154.2,1969.0,3.02
2015-07-02,153.05,154.5,151.1,154.5,154.0,1449.0,2.22
2015-07-03,154.95,156.0,153.1,155.0,155.35,4771.0,7.4
2015-07-06,152.4,157.0,151.1,157.0,156.65,9457.0,14.43
2015-07-07,158.0,163.7,158.0,161.5,161.3,12021.0,19.36
2015-07-08,155.5,156.9,152.0,155.0,155.0,21578.0,33.22
2015-07-09,164.0,164.0,155.0,155.0,157.35,1109.0,1.75
2015-07-10,158.45,184.7,157.9,175.1,176.85,87066.0,153.84
2015-07-13,176.0,178.0,172.5,172.9,173.85,20280.0,35.45
2015-07-14,175.0,175.6,166.55,169.0,168.9,10161.0,17.27
2015-07-15,166.2,172.0,166.0,169.25,169.7,5874.0,9.99
2015-07-16,170.05,174.8,167.0,167.25,169.0,7106.0,12.12
2015-07-17,169.05,179.9,169.0,173.0,173.05,22548.0,39.37
2015-07-20,172.05,175.0,168.0,168.1,168.3,5724.0,9.76
