Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-10-23,23.2,23.9,23.2,23.9,23.9,865.0,0.2
2013-10-24,24.0,24.6,23.0,23.6,23.6,2907.0,0.68
2013-10-25,24.45,24.45,22.9,23.5,23.5,5850.0,1.35
2013-10-28,24.0,24.15,22.8,23.0,23.0,1427.0,0.34
2013-10-29,22.0,23.8,21.85,22.35,22.65,2303.0,0.52
2013-10-30,23.7,23.75,22.0,23.55,23.55,2914.0,0.67
2013-10-31,23.45,24.0,22.5,23.0,23.0,2226.0,0.51
2013-11-01,22.1,23.5,22.1,22.25,22.3,2686.0,0.61
2013-11-03,21.3,23.35,21.3,23.3,23.3,1122.0,0.25
2013-11-05,24.45,24.45,24.45,24.45,24.45,27235.0,6.66
2013-11-06,24.75,25.5,24.7,24.8,24.8,11639.0,2.92
2013-11-07,25.75,25.75,23.6,24.4,24.4,1379.0,0.34
2013-11-08,23.3,24.0,23.25,23.6,23.6,1191.0,0.28
2013-11-11,22.55,23.55,22.55,23.15,23.15,3048.0,0.7
2013-11-12,23.55,24.0,23.0,23.25,23.45,3069.0,0.72
2013-11-13,22.5,23.4,22.5,23.0,23.25,1027.0,0.23
2013-11-14,23.3,23.6,22.5,23.3,23.3,3959.0,0.9
2013-11-18,23.0,24.0,22.6,23.15,23.15,4732.0,1.1
2013-11-19,23.9,23.9,22.9,23.1,23.6,3682.0,0.85
2013-11-20,22.55,24.75,22.55,24.25,24.25,10176.0,2.48
2013-11-21,25.0,25.0,24.0,24.55,24.45,1815.0,0.44
2013-11-22,25.0,25.0,23.6,23.6,23.6,1608.0,0.39
2013-11-25,24.75,24.75,22.45,23.0,23.0,10402.0,2.4
2013-11-26,23.85,23.95,23.0,23.95,23.8,5793.0,1.36
2013-11-27,24.8,24.8,22.65,22.65,22.65,22394.0,5.15
2013-11-28,22.05,23.6,22.05,23.45,22.8,2458.0,0.56
2013-11-29,23.5,23.55,22.85,23.25,23.05,2917.0,0.68
2013-12-02,22.55,23.95,22.55,23.1,23.3,4022.0,0.95
2013-12-03,22.2,23.85,22.2,23.35,23.25,5744.0,1.34
2013-12-04,23.85,23.85,22.4,23.0,22.9,8455.0,1.93
2013-12-05,22.9,23.4,22.45,23.0,23.3,8098.0,1.87
2013-12-06,23.0,23.5,22.75,23.45,23.15,5508.0,1.28
2013-12-09,22.25,23.9,22.25,23.6,23.55,3858.0,0.9
2013-12-10,22.55,23.95,22.55,23.5,23.15,9213.0,2.17
2013-12-11,22.3,23.0,22.15,22.85,22.85,7795.0,1.77
2013-12-12,22.65,23.4,22.0,22.55,22.55,5432.0,1.23
2013-12-13,23.0,23.0,21.65,21.65,21.85,5389.0,1.19
2013-12-16,22.0,22.9,21.25,22.9,22.55,6654.0,1.48
2013-12-17,22.4,23.2,22.4,22.6,22.65,5563.0,1.26
2013-12-18,23.0,23.75,22.6,23.75,23.75,6116.0,1.42
2013-12-19,23.75,24.7,23.65,24.7,24.55,7390.0,1.8
2013-12-20,24.0,25.7,23.5,24.85,24.75,13397.0,3.34
2013-12-23,23.6,24.8,23.6,24.2,24.2,2456.0,0.59
2013-12-24,23.3,24.3,23.3,23.7,23.7,4353.0,1.03
2013-12-26,23.7,24.85,23.0,23.5,23.3,5489.0,1.3
2013-12-27,23.15,24.2,23.05,23.55,23.65,7111.0,1.67
2013-12-30,24.0,24.25,23.1,24.0,23.7,4636.0,1.09
2013-12-31,24.0,24.35,23.3,23.9,23.9,1835.0,0.44
2014-01-01,24.7,24.7,23.45,24.0,24.0,3137.0,0.75
2014-01-02,23.5,24.2,23.5,23.7,23.7,3530.0,0.83
2014-01-03,23.1,24.3,23.1,23.95,23.75,948.0,0.22
2014-01-06,23.75,24.2,23.35,24.0,24.0,2108.0,0.5
2014-01-07,24.0,26.4,23.7,26.25,26.1,28730.0,7.4
2014-01-08,27.0,28.7,27.0,28.7,28.65,50907.0,14.5
2014-01-09,30.4,31.3,28.1,29.95,29.8,64351.0,19.42
2014-01-10,28.6,29.95,28.35,28.35,28.35,7790.0,2.21
2014-01-13,27.1,28.45,26.95,27.4,27.25,4671.0,1.28
2014-01-14,27.0,28.0,25.9,25.9,25.9,6993.0,1.83
2014-01-15,25.1,25.8,25.1,25.4,25.4,3214.0,0.82
2014-01-16,25.0,25.8,24.4,25.0,24.9,1796.0,0.45
2014-01-17,25.95,25.95,23.7,24.25,24.0,6369.0,1.53
2014-01-20,24.0,24.0,22.9,23.7,23.45,1744.0,0.4
2014-01-21,24.6,24.6,23.15,24.35,24.2,1653.0,0.4
2014-01-22,24.95,24.95,23.7,24.0,24.0,1566.0,0.37
