Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-12-27,137.0,154.7,137.0,148.8,149.2,64704244.0,95444.72
2012-12-28,149.8,154.3,145.35,146.15,147.0,7404951.0,11154.89
2012-12-31,146.85,153.3,145.0,149.5,149.7,4191294.0,6309.42
2013-01-01,151.6,167.9,150.55,165.0,165.3,11643648.0,18815.43
2013-01-02,166.1,179.25,165.6,174.95,175.4,14167769.0,24681.25
2013-01-03,176.9,184.8,175.0,184.0,183.55,8413831.0,15284.35
2013-01-04,185.0,189.4,182.8,188.9,187.75,6249945.0,11712.08
2013-01-07,189.0,194.9,180.5,182.45,181.65,6195063.0,11611.83
2013-01-08,182.75,186.35,176.1,177.35,177.5,5276315.0,9498.78
2013-01-09,178.9,180.4,174.3,175.35,175.55,3435105.0,6073.55
2013-01-10,176.7,177.8,165.1,165.35,166.1,3318657.0,5646.7
2013-01-11,167.0,167.0,154.5,155.0,155.8,5019058.0,8084.73
2013-01-14,156.0,173.65,155.7,172.5,172.2,6682339.0,11155.97
2013-01-15,173.75,176.4,166.45,168.85,168.9,3849468.0,6580.27
2013-01-16,168.1,169.4,162.7,164.2,163.9,1672324.0,2759.44
2013-01-17,165.5,167.65,162.55,164.75,164.7,1771512.0,2924.5
2013-01-18,166.2,166.2,160.65,161.6,161.75,1015655.0,1656.94
2013-01-21,162.05,164.5,159.1,160.15,160.6,1080410.0,1741.97
2013-01-22,160.3,160.95,155.25,156.05,155.9,1325478.0,2088.53
2013-01-23,157.0,162.8,155.15,162.25,161.4,2620756.0,4204.93
2013-01-24,162.65,162.65,153.2,153.6,153.95,1416196.0,2211.95
2013-01-25,154.05,159.2,152.45,157.25,157.55,1095181.0,1714.38
2013-01-28,158.75,166.5,157.0,162.3,162.0,1719119.0,2798.85
2013-01-29,162.5,164.45,159.0,161.6,161.95,862252.0,1397.51
2013-01-30,161.8,162.85,156.75,158.25,158.0,528990.0,842.46
2013-01-31,158.5,161.3,156.5,160.95,160.45,556066.0,886.18
2013-02-01,162.0,165.35,158.4,159.65,159.8,832214.0,1350.47
2013-02-04,160.35,161.75,155.2,156.45,156.0,473402.0,748.92
2013-02-05,155.1,157.6,150.4,153.0,152.55,908123.0,1394.79
2013-02-06,154.25,154.5,140.3,141.9,142.0,2118017.0,3102.73
2013-02-07,142.75,143.95,134.05,143.1,142.4,4122032.0,5813.27
2013-02-08,143.15,143.65,138.1,140.0,139.95,820721.0,1151.14
2013-02-11,137.6,141.7,118.6,123.1,124.2,4665250.0,5887.91
2013-02-12,122.1,133.0,122.1,132.0,131.95,2798987.0,3622.74
2013-02-13,132.8,141.85,132.8,141.5,140.35,2279659.0,3148.77
2013-02-14,141.95,141.95,136.5,140.5,140.35,1188897.0,1648.55
2013-02-15,142.8,142.8,137.1,138.9,139.8,625544.0,869.64
2013-02-18,139.6,142.8,138.0,139.55,139.85,615389.0,864.81
2013-02-19,139.95,142.4,138.25,140.9,141.35,514885.0,725.08
2013-02-20,142.35,143.4,141.0,141.0,141.85,557081.0,791.32
2013-02-21,139.9,140.65,136.25,137.7,137.3,716250.0,987.57
2013-02-22,137.3,141.9,136.2,141.5,141.05,582787.0,814.92
2013-02-25,141.8,142.75,130.25,133.35,133.55,917895.0,1239.18
2013-02-26,133.3,133.35,122.0,124.0,124.7,1048080.0,1322.78
2013-02-27,126.25,128.5,115.85,126.7,126.05,755366.0,933.58
2013-02-28,127.95,127.95,114.5,115.4,115.5,1974449.0,2369.13
2013-03-01,115.4,118.3,106.5,113.0,108.9,1225883.0,1369.74
2013-03-04,109.2,112.95,105.1,108.6,108.3,942382.0,1022.65
2013-03-05,109.95,125.95,108.35,121.3,121.1,3280721.0,3934.72
2013-03-06,122.6,134.5,121.75,131.0,131.75,3669068.0,4708.64
2013-03-07,122.05,132.75,122.05,126.05,126.85,1367385.0,1747.14
2013-03-08,127.0,127.4,121.1,122.15,122.85,1196381.0,1480.64
2013-03-11,123.2,127.3,122.65,123.85,123.95,915209.0,1145.22
2013-03-12,124.75,126.3,120.35,122.55,123.35,699702.0,864.3
2013-03-13,123.9,123.9,120.2,121.45,121.35,1388495.0,1688.52
2013-03-14,121.0,122.85,116.6,119.2,119.05,963465.0,1151.08
2013-03-15,117.5,121.45,116.25,117.6,118.0,770587.0,912.52
2013-03-18,116.25,117.8,114.3,116.2,116.15,375127.0,435.12
2013-03-19,116.9,119.7,106.0,112.6,111.65,1020360.0,1149.55
2013-03-20,111.65,112.9,107.55,107.8,108.0,550748.0,603.7
2013-03-21,109.5,111.2,102.8,106.3,106.0,739404.0,793.93
2013-03-22,106.75,109.7,105.0,107.3,107.4,494501.0,531.45
2013-03-25,108.85,112.4,108.25,110.5,109.55,847727.0,936.82
2013-03-26,109.4,112.5,108.25,110.6,110.25,366333.0,405.36
2013-03-28,110.3,115.0,109.1,114.4,114.35,666497.0,755.56
2013-04-01,115.2,126.0,114.0,122.85,123.35,676648.0,815.93
2013-04-02,123.05,123.5,120.5,121.0,121.6,317121.0,386.03
2013-04-03,122.0,124.9,117.75,118.95,119.4,372400.0,455.66
2013-04-04,119.4,119.4,111.8,112.55,112.7,341383.0,391.4
2013-04-05,113.0,114.0,108.1,109.4,109.3,354345.0,392.72
2013-04-08,110.25,111.3,108.75,109.0,109.3,206064.0,226.61
2013-04-09,110.9,113.3,108.8,109.5,109.65,262754.0,292.71
2013-04-10,109.25,111.0,107.8,109.8,109.6,165158.0,180.29
2013-04-11,110.9,111.6,108.8,108.9,109.45,136554.0,150.22
2013-04-12,109.2,109.2,107.15,107.55,107.6,141507.0,152.67
2013-04-15,105.3,107.0,99.25,102.2,101.7,715036.0,727.98
2013-04-16,100.0,107.5,96.2,101.85,101.7,1023940.0,1055.74
2013-04-17,102.15,104.6,99.75,99.8,100.1,464053.0,473.34
2013-04-18,100.9,103.7,99.0,101.25,101.3,621806.0,631.37
2013-04-22,101.5,105.6,101.5,105.1,104.85,904734.0,939.32
2013-04-23,105.2,108.9,105.2,105.7,105.95,419803.0,448.82
2013-04-25,106.0,119.8,105.15,113.5,112.6,1669349.0,1898.63
2013-04-26,113.9,117.35,112.5,113.9,113.55,524229.0,600.82
2013-04-29,114.9,115.85,112.3,112.9,112.95,247741.0,282.32
2013-04-30,113.25,114.9,109.0,110.7,111.0,288696.0,321.04
2013-05-02,108.8,113.0,108.8,109.55,109.95,275806.0,305.78
2013-05-03,110.7,112.45,109.5,109.65,109.9,306493.0,339.35
2013-05-06,110.95,112.3,110.0,111.2,111.1,257194.0,285.95
2013-05-07,111.9,113.7,111.1,112.0,112.0,235452.0,264.16
2013-05-08,112.0,116.2,112.0,114.6,114.7,394683.0,451.49
2013-05-09,115.0,120.8,115.0,117.0,116.85,611849.0,721.42
2013-05-10,117.15,119.15,115.1,115.3,115.35,234774.0,274.72
2013-05-11,115.9,116.5,115.1,116.2,115.9,34566.0,40.06
2013-05-13,116.5,118.8,115.25,115.75,115.75,221820.0,259.51
2013-05-14,115.8,116.4,113.0,113.2,113.7,82137.0,93.83
2013-05-15,114.0,119.8,113.65,119.75,119.15,742890.0,874.53
2013-05-16,120.1,123.95,118.25,123.65,122.8,673256.0,816.16
2013-05-17,123.0,125.4,119.25,124.75,124.8,520207.0,643.55
2013-05-20,124.2,125.95,116.9,117.5,117.9,619356.0,743.65
2013-05-21,118.9,122.1,116.55,117.65,117.7,897424.0,1069.21
2013-05-22,116.7,117.95,115.1,115.75,115.3,316621.0,366.53
2013-05-23,114.15,116.75,113.95,115.05,115.0,325684.0,375.47
2013-05-24,115.5,116.95,111.5,111.55,112.25,196970.0,223.23
2013-05-27,112.75,113.6,110.0,110.2,110.4,251584.0,279.26
2013-05-28,111.2,112.75,109.9,112.75,112.1,319582.0,354.86
2013-05-29,112.2,116.0,112.2,114.0,114.1,312038.0,356.64
2013-05-30,114.4,115.0,112.4,113.4,113.2,104688.0,118.64
2013-05-31,113.75,115.8,111.6,115.1,113.75,350706.0,397.94
2013-06-03,113.7,119.75,113.55,116.05,116.15,244592.0,283.67
2013-06-04,116.45,118.7,114.95,115.9,115.95,195726.0,228.04
2013-06-05,115.5,115.8,114.1,115.2,115.05,69158.0,79.45
2013-06-06,112.0,119.25,112.0,119.25,118.65,264846.0,308.83
2013-06-07,118.65,120.6,115.4,115.95,116.4,153957.0,182.52
2013-06-10,117.4,118.45,114.0,114.25,114.85,60855.0,70.34
2013-06-11,111.5,114.4,104.1,105.5,107.0,201894.0,220.72
2013-06-12,106.9,106.9,99.55,102.85,101.2,390275.0,399.18
2013-06-13,100.1,105.5,99.7,101.0,100.9,208640.0,214.13
2013-06-14,102.3,103.7,101.0,101.2,101.25,114475.0,116.93
2013-06-17,102.45,102.55,97.3,99.6,99.95,221751.0,220.74
2013-06-18,99.2,102.45,95.15,100.0,100.05,277337.0,275.41
2013-06-19,100.1,101.2,98.5,98.8,99.2,151301.0,150.65
2013-06-20,98.0,99.1,97.0,97.2,97.3,120238.0,117.71
2013-06-21,96.1,98.8,95.2,97.9,97.95,201002.0,194.39
2013-06-24,98.0,98.45,81.8,88.0,88.5,732564.0,656.06
2013-06-25,88.95,92.6,83.2,92.25,90.35,455027.0,398.4
2013-06-26,89.5,94.0,88.0,91.85,91.45,273614.0,250.74
2013-06-27,92.25,93.95,89.35,93.7,93.0,568368.0,517.23
2013-06-28,93.5,94.4,91.05,91.6,92.35,304912.0,282.61
2013-07-01,91.0,96.35,90.45,93.4,93.4,379581.0,354.09
2013-07-02,93.4,95.1,91.1,91.1,91.55,388070.0,362.46
2013-07-03,91.0,91.45,88.8,90.0,89.35,343140.0,308.34
2013-07-04,88.8,91.9,88.8,89.85,90.0,259136.0,233.18
2013-07-05,90.0,92.95,88.1,88.75,88.85,539278.0,483.6
2013-07-08,88.4,88.4,84.0,85.2,85.5,191207.0,163.77
2013-07-09,86.0,86.95,80.6,81.5,82.15,869571.0,732.71
2013-07-10,82.0,82.75,76.8,77.0,77.2,853146.0,681.94
