Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-19,156.9,187.7,142.0,154.3,165.55,22043834.0,34900.47
2011-10-20,155.1,176.15,152.0,154.0,159.0,5150680.0,8459.99
2011-10-21,157.95,171.0,154.95,158.8,159.4,3071261.0,5024.78
2011-10-24,162.0,172.0,159.5,170.0,170.65,1939448.0,3230.43
2011-10-25,170.0,192.9,165.1,185.65,183.95,1471957.0,2575.24
2011-10-26,186.0,217.8,186.0,213.0,213.8,1524507.0,3187.72
2011-10-28,215.0,240.45,207.5,223.05,223.25,3057216.0,6930.65
2011-10-31,217.95,227.8,212.35,221.0,217.5,726316.0,1590.9
2011-11-01,216.1,223.95,207.3,222.0,221.1,789182.0,1716.97
2011-11-02,216.25,225.9,216.0,223.0,221.8,586519.0,1299.35
2011-11-03,220.3,229.9,219.6,229.0,227.6,536488.0,1217.25
2011-11-04,229.3,271.2,215.05,221.0,218.8,1373568.0,3154.2
2011-11-08,219.85,262.6,219.85,262.6,262.6,1730201.0,4256.79
2011-11-09,271.55,294.9,265.6,285.0,283.3,5174562.0,14660.09
2011-11-11,280.0,293.0,274.1,285.0,289.55,1678574.0,4821.21
2011-11-14,290.5,297.0,262.65,270.0,270.35,919475.0,2529.19
2011-11-15,270.0,270.0,250.35,257.15,257.9,427660.0,1110.51
2011-11-16,255.5,265.25,253.05,259.0,258.1,575157.0,1489.22
2011-11-17,256.85,259.95,246.25,253.7,256.5,485404.0,1243.47
2011-11-18,255.35,264.3,235.05,250.05,247.7,247875.0,632.32
2011-11-21,245.05,260.0,245.05,259.9,257.25,253549.0,644.19
2011-11-22,261.0,265.0,255.05,258.0,257.7,207465.0,542.76
2011-11-23,256.75,263.75,255.05,258.95,257.15,170175.0,442.88
2011-11-24,258.0,263.45,256.0,257.0,259.5,174492.0,454.63
2011-11-25,255.05,261.95,255.05,261.0,260.1,152978.0,397.17
2011-11-28,258.15,262.05,251.1,255.0,260.4,207065.0,533.9
2011-11-29,261.0,277.0,260.05,262.5,265.1,250160.0,675.52
2011-11-30,264.0,291.6,260.1,287.0,289.5,314153.0,878.04
2011-12-01,294.95,302.8,272.65,295.0,290.8,288379.0,844.6
2011-12-02,288.6,290.8,278.2,283.0,287.8,195663.0,560.06
2011-12-05,288.8,288.8,274.3,280.0,276.65,140902.0,392.02
2011-12-07,272.1,279.7,269.7,270.6,272.25,110443.0,301.75
2011-12-08,268.6,271.0,264.0,266.75,266.1,105040.0,280.51
2011-12-09,258.1,264.6,252.1,253.1,256.65,123414.0,319.92
2011-12-12,256.1,258.7,231.5,239.0,240.7,188731.0,470.07
2011-12-13,237.95,258.95,237.95,242.05,244.4,75623.0,187.22
2011-12-14,243.9,251.0,240.7,243.95,243.75,62290.0,154.03
2011-12-15,240.0,244.9,232.85,241.5,240.6,187686.0,447.52
2011-12-16,242.0,259.8,241.05,255.0,256.1,94417.0,234.06
2011-12-19,254.7,272.7,254.7,271.9,270.05,145766.0,379.46
2011-12-20,269.7,281.0,268.1,275.0,277.0,142433.0,393.17
2011-12-21,273.05,282.0,257.15,261.0,265.3,60210.0,164.04
2011-12-22,256.1,264.95,254.15,259.0,257.1,71651.0,185.96
2011-12-23,254.1,265.95,233.3,256.0,256.65,43807.0,113.43
2011-12-26,254.55,265.0,253.05,255.8,259.35,153733.0,398.9
2011-12-27,259.0,259.6,252.55,254.75,255.05,82569.0,210.39
2011-12-28,252.95,258.9,248.15,251.95,254.2,135994.0,344.48
2011-12-29,255.0,259.5,250.1,256.4,257.0,45859.0,117.38
2011-12-30,258.6,258.6,251.1,251.1,255.9,68571.0,175.26
2012-01-02,254.1,258.9,252.1,257.0,256.15,63419.0,161.34
2012-01-03,255.5,275.0,255.0,255.4,259.05,44464.0,115.07
2012-01-04,253.1,259.05,251.1,252.1,258.1,95858.0,246.3
2012-01-05,256.75,265.9,253.05,263.25,264.0,53318.0,139.1
2012-01-06,261.0,263.9,256.0,258.0,257.6,35609.0,92.59
2012-01-07,255.05,259.95,255.0,255.0,257.3,15181.0,39.05
2012-01-09,254.0,256.0,253.15,253.2,253.2,38629.0,98.48
2012-01-10,256.8,256.8,251.05,254.0,252.35,33447.0,85.0
2012-01-11,242.1,260.65,242.1,247.0,247.75,61980.0,153.52
2012-01-12,242.0,263.0,240.05,255.0,254.8,107906.0,270.16
2012-01-13,254.0,256.5,251.05,252.5,252.45,72774.0,183.87
2012-01-16,253.0,256.8,249.55,254.5,251.7,35005.0,88.52
2012-01-17,255.0,255.0,247.35,250.65,251.3,30853.0,78.35
2012-01-18,248.0,255.95,242.05,245.0,249.45,33103.0,82.9
2012-01-19,248.9,251.0,243.0,251.0,248.75,28311.0,70.41
2012-01-20,250.0,252.95,246.05,252.8,246.9,46341.0,114.91
2012-01-23,249.0,252.95,242.1,245.0,246.15,33883.0,84.46
2012-01-24,248.0,262.95,246.05,247.0,249.95,64898.0,162.83
2012-01-25,250.0,256.9,245.05,251.0,250.35,205587.0,514.07
2012-01-27,250.0,255.05,247.5,254.7,250.75,51017.0,127.3
2012-01-30,256.0,256.0,246.1,248.75,248.7,139505.0,350.87
2012-01-31,249.95,254.5,239.9,248.1,251.0,36706.0,90.96
2012-02-01,249.5,268.65,249.5,263.35,265.35,76535.0,200.55
2012-02-02,261.0,275.85,261.0,270.45,272.65,39890.0,108.72
2012-02-03,270.0,284.95,255.05,280.0,276.0,42230.0,115.19
2012-02-06,277.0,283.3,270.15,273.0,279.15,25681.0,71.64
2012-02-07,274.0,278.45,265.1,265.25,265.7,24522.0,66.76
2012-02-08,264.0,268.0,260.15,265.3,266.1,21639.0,57.23
2012-02-09,266.5,275.0,261.05,261.05,264.4,18727.0,49.95
2012-02-10,264.0,265.5,253.0,262.0,261.8,73026.0,191.33
2012-02-13,262.0,284.0,253.75,265.0,263.45,107928.0,283.66
2012-02-14,269.3,272.95,257.0,261.0,265.1,23994.0,64.54
2012-02-15,267.5,268.5,253.0,258.5,254.8,31346.0,82.32
2012-02-16,253.0,258.0,242.0,245.0,246.1,25369.0,63.55
2012-02-17,250.0,251.5,241.0,250.0,244.25,114155.0,278.61
2012-02-21,250.0,252.0,242.15,243.05,245.5,57602.0,142.09
2012-02-22,246.0,247.9,238.05,247.9,244.85,37731.0,91.82
2012-02-23,244.95,255.0,238.0,240.05,240.4,29912.0,72.7
2012-02-24,241.8,241.9,233.1,235.15,239.35,23670.0,56.08
2012-02-27,233.5,239.4,230.1,239.0,238.55,12041.0,28.51
2012-02-28,237.2,239.0,230.1,235.75,234.25,32633.0,76.85
2012-02-29,230.1,240.0,230.1,238.0,238.35,17401.0,41.36
2012-03-01,236.0,241.75,230.1,239.0,238.75,9137.0,21.89
2012-03-02,236.0,241.5,235.05,237.0,239.1,4682.0,11.18
2012-03-03,242.5,244.0,236.1,239.05,239.4,1484.0,3.56
2012-03-05,241.9,241.95,236.0,236.1,238.65,21073.0,50.3
2012-03-06,231.0,239.45,231.0,235.0,236.6,28283.0,67.24
2012-03-07,228.0,239.9,191.9,227.15,231.35,19023.0,44.36
2012-03-09,233.0,235.0,229.3,233.4,232.55,38361.0,88.99
2012-03-12,239.95,251.85,235.0,237.1,241.55,32177.0,77.2
2012-03-13,243.9,259.8,240.5,241.25,242.85,64746.0,157.9
2012-03-14,245.05,256.8,245.0,252.0,252.2,116843.0,294.49
2012-03-15,254.9,264.95,246.3,249.0,248.95,37196.0,93.36
2012-03-16,252.0,254.95,250.1,250.25,251.5,34385.0,86.67
2012-03-19,251.25,256.9,251.2,251.9,253.2,25410.0,64.52
2012-03-20,252.25,263.85,252.25,253.5,253.95,42541.0,108.44
2012-03-21,254.25,256.85,250.05,254.45,252.5,63071.0,160.22
2012-03-22,254.65,258.0,247.65,248.0,248.55,32443.0,82.24
2012-03-23,249.75,254.65,248.25,248.25,249.05,43531.0,108.88
2012-03-26,249.3,252.0,246.25,247.35,250.0,28627.0,71.27
2012-03-27,250.0,292.0,248.25,291.85,290.1,1088351.0,3023.49
2012-03-28,289.25,296.7,252.55,288.0,284.9,754644.0,2026.97
2012-03-29,280.35,296.6,235.05,242.45,247.5,270888.0,702.19
2012-03-30,238.7,258.0,233.05,237.0,235.2,162133.0,390.54
2012-04-02,190.15,255.75,190.15,248.1,249.6,88359.0,221.91
2012-04-03,249.7,259.0,249.6,258.0,254.75,137669.0,349.93
2012-04-04,254.2,261.5,254.15,256.05,256.95,47665.0,122.64
2012-04-09,260.0,260.0,247.25,247.25,253.35,49931.0,127.24
2012-04-10,251.45,259.9,247.25,250.25,250.6,39702.0,99.58
2012-04-11,250.15,254.85,248.25,250.0,249.9,63476.0,158.88
2012-04-12,250.0,253.9,247.2,248.0,250.95,64578.0,161.88
2012-04-13,254.5,254.5,246.0,249.0,248.8,51505.0,128.11
2012-04-16,252.0,252.0,247.25,249.8,249.1,36891.0,91.66
2012-04-17,249.3,252.0,249.1,250.6,250.05,39385.0,98.38
2012-04-18,251.95,251.95,248.0,248.65,248.7,43141.0,107.59
2012-04-19,252.95,298.4,247.25,298.4,298.4,332874.0,965.14
2012-04-20,308.0,338.7,306.95,330.25,328.75,822519.0,2686.74
2012-04-23,328.95,333.7,316.4,330.0,326.85,155550.0,505.87
2012-04-24,319.8,323.0,300.0,316.9,314.5,39384.0,124.45
2012-04-25,320.0,320.0,301.1,303.55,304.65,37056.0,113.0
2012-04-26,309.0,331.0,285.5,297.0,301.95,135832.0,431.61
2012-04-27,302.0,311.0,294.0,297.8,301.75,52494.0,158.32
2012-04-28,297.3,303.9,290.85,295.95,293.2,7083.0,21.08
2012-04-30,293.4,297.9,285.0,295.0,294.5,39564.0,116.32
2012-05-02,296.3,309.9,292.25,301.95,301.6,22873.0,69.27
2012-05-03,304.75,316.0,300.95,316.0,310.8,82770.0,254.12
2012-05-04,310.4,332.6,310.0,313.25,322.1,298037.0,965.64
2012-05-07,310.15,317.8,304.0,305.5,305.7,162161.0,496.21
2012-05-08,306.5,317.0,301.05,301.1,302.55,44527.0,137.72
2012-05-09,295.35,304.0,282.3,284.0,290.85,76005.0,223.01
2012-05-10,287.95,305.0,275.05,305.0,300.75,31164.0,93.25
