Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-11-22,27.95,28.0,20.4,20.4,20.4,16102.0,3.68
2011-11-23,16.75,18.95,16.35,17.5,16.95,33527.0,5.66
2011-11-24,14.15,17.4,14.15,17.4,16.6,7013.0,1.1
2011-11-25,14.5,17.4,14.5,16.8,16.8,3938.0,0.65
2011-11-28,16.0,18.7,16.0,18.5,17.85,8143.0,1.39
2011-11-29,17.0,20.5,16.6,16.8,16.8,6620.0,1.13
2011-11-30,16.0,18.9,16.0,16.55,16.55,381.0,0.06
2011-12-01,16.1,19.75,16.1,16.5,16.65,4698.0,0.81
2011-12-02,16.55,17.5,16.55,16.7,17.0,6097.0,1.04
2011-12-05,16.6,17.5,16.55,16.55,16.55,880.0,0.15
2011-12-07,19.45,19.45,16.5,16.7,16.65,4879.0,0.81
2011-12-08,16.5,16.6,15.5,15.6,15.6,4697.0,0.77
2011-12-09,14.25,17.8,14.25,16.5,16.7,8172.0,1.28
2011-12-12,16.5,16.6,15.85,15.9,16.2,3421.0,0.55
2011-12-13,15.0,17.0,15.0,15.85,15.6,986.0,0.15
2011-12-14,15.0,15.85,14.1,15.0,15.4,1805.0,0.28
2011-12-15,14.5,15.15,13.6,13.6,15.05,3670.0,0.54
2011-12-16,14.0,15.95,13.5,14.45,14.45,1904.0,0.27
2011-12-19,12.75,13.5,12.5,12.8,12.6,2263.0,0.28
2011-12-20,12.1,13.7,12.1,13.7,13.05,1825.0,0.24
2011-12-21,13.1,13.9,13.0,13.0,13.0,455.0,0.06
2011-12-22,14.0,14.0,13.5,14.0,14.0,1628.0,0.23
2011-12-23,15.0,15.75,14.5,15.0,14.8,3378.0,0.5
2011-12-26,14.85,15.9,13.5,14.0,14.0,13482.0,2.0
2011-12-27,13.75,14.0,13.75,14.0,14.0,3.0,0.0
2011-12-28,14.0,15.0,13.15,15.0,15.0,811.0,0.12
2011-12-29,14.0,15.8,13.8,13.8,13.85,2335.0,0.33
2011-12-30,13.0,16.0,13.0,15.1,14.45,4914.0,0.72
2012-01-02,15.0,15.0,15.0,15.0,15.0,1.0,0.0
2012-01-03,14.0,14.45,13.6,14.0,14.0,1218.0,0.17
2012-01-04,14.0,15.0,13.65,13.7,13.65,2668.0,0.37
2012-01-05,13.2,13.55,13.05,13.2,13.2,1456.0,0.19
2012-01-06,12.55,13.2,12.55,12.9,12.8,2725.0,0.35
2012-01-07,12.8,13.0,12.8,12.9,12.95,590.0,0.08
2012-01-09,12.75,13.7,12.75,13.0,13.0,339.0,0.04
2012-01-10,13.0,13.95,13.0,13.9,13.9,1156.0,0.15
2012-01-11,13.5,14.9,13.0,14.05,14.75,1643.0,0.24
2012-01-12,13.75,14.95,13.75,14.95,14.95,600.0,0.09
2012-01-13,15.0,15.0,13.5,13.5,13.6,4070.0,0.55
2012-01-16,13.25,14.0,13.25,13.55,13.55,405.0,0.06
2012-01-17,13.65,14.4,13.65,14.4,14.1,2911.0,0.41
2012-01-18,14.0,14.05,14.0,14.05,14.0,791.0,0.11
2012-01-19,13.75,14.5,12.65,14.5,14.5,646.0,0.09
2012-01-20,14.0,14.0,13.6,14.0,14.0,215.0,0.03
2012-01-23,13.0,14.9,13.0,13.8,13.8,456.0,0.06
2012-01-24,16.0,16.0,13.2,14.0,14.0,1487.0,0.2
2012-01-25,13.4,14.7,13.4,14.5,14.15,3098.0,0.44
2012-01-27,13.1,14.3,13.1,14.0,14.05,1351.0,0.19
2012-01-30,14.5,14.5,13.5,13.6,13.6,520.0,0.07
2012-01-31,14.4,14.4,13.5,13.6,13.6,1114.0,0.15
2012-02-01,13.35,14.5,13.35,14.5,14.2,8270.0,1.12
2012-02-02,15.9,15.9,13.6,14.0,14.0,6954.0,0.97
2012-02-03,13.85,14.0,13.35,14.0,13.7,6006.0,0.82
2012-02-06,13.5,14.5,13.2,13.5,13.65,3152.0,0.44
2012-02-07,14.0,14.0,13.5,13.5,13.5,3303.0,0.45
2012-02-08,13.4,13.85,13.4,13.85,13.85,3261.0,0.45
2012-02-09,13.6,13.6,13.3,13.5,13.5,1552.0,0.21
2012-02-10,14.0,14.0,13.4,13.4,13.4,1310.0,0.18
2012-02-13,13.5,13.95,13.5,13.55,13.55,3370.0,0.46
2012-02-14,13.25,13.5,13.25,13.25,13.25,2095.0,0.28
2012-02-15,13.0,14.5,12.6,14.5,14.0,2562.0,0.35
2012-02-16,14.0,15.0,13.65,15.0,15.0,1352.0,0.19
2012-02-17,14.8,14.8,13.6,14.0,13.8,7737.0,1.08
2012-02-21,14.0,14.5,13.85,13.85,14.25,2138.0,0.3
2012-02-22,14.95,15.8,14.95,15.0,15.0,36795.0,5.65
2012-02-23,14.8,18.0,14.8,18.0,17.25,14715.0,2.44
2012-02-24,20.0,20.0,17.55,18.9,18.95,40033.0,7.64
2012-02-27,18.8,20.0,16.2,18.0,17.45,6595.0,1.15
2012-02-28,17.0,18.9,16.0,18.25,18.75,4083.0,0.71
2012-02-29,19.4,19.4,18.05,18.4,18.75,3637.0,0.68
2012-03-01,19.75,20.0,17.25,20.0,19.75,6953.0,1.36
2012-03-02,20.0,20.0,19.95,19.95,19.95,2.0,0.0
2012-03-06,19.0,19.4,19.0,19.4,19.4,80.0,0.02
2012-03-07,19.3,19.35,18.45,18.45,18.45,385.0,0.07
