Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-06,69.0,76.25,66.0,76.25,76.25,523531.0,386.42
2016-09-07,79.9,83.65,76.0,78.8,77.6,292674.0,232.88
2016-09-08,81.7,81.7,74.65,74.65,75.25,86952.0,66.99
2016-09-09,76.0,76.0,72.0,73.0,73.55,62409.0,45.82
2016-09-12,74.25,74.3,67.65,70.9,69.95,101689.0,72.18
2016-09-14,71.8,76.9,68.75,76.9,75.95,122894.0,89.19
2016-09-15,77.4,83.5,75.4,83.5,83.5,375009.0,309.19
2016-09-16,86.0,89.0,78.0,80.25,79.9,336499.0,285.32
2016-09-19,82.95,83.5,78.6,79.25,79.9,84052.0,67.47
2016-09-20,79.85,81.0,76.95,77.1,77.55,65549.0,51.75
2016-09-21,76.1,79.4,76.1,77.05,77.6,44642.0,34.83
2016-09-22,79.0,82.5,79.0,79.2,79.6,72105.0,58.21
2016-09-23,81.8,81.8,75.0,76.3,75.95,62754.0,48.56
2016-09-26,76.4,76.45,71.5,74.7,74.7,27135.0,20.1
2016-09-27,74.7,76.85,73.2,73.35,74.35,15190.0,11.41
2016-09-28,76.75,77.0,72.4,74.5,74.8,78116.0,58.15
2016-09-29,74.75,78.6,67.35,68.05,68.6,99019.0,71.03
2016-09-30,68.0,72.8,66.65,70.95,70.95,61485.0,43.65
2016-10-03,68.65,77.0,68.65,74.5,74.15,29406.0,21.68
2016-10-04,75.0,79.0,74.0,75.3,75.3,35958.0,27.06
2016-10-05,76.3,76.5,73.55,76.1,75.85,21479.0,16.16
2016-10-06,77.05,83.0,75.6,81.0,80.2,208064.0,166.78
2016-10-07,80.8,91.0,78.05,88.1,88.75,352716.0,305.29
2016-10-10,89.0,106.5,83.1,106.5,106.5,763121.0,748.28
2016-10-13,105.55,119.75,102.5,108.1,109.25,1251933.0,1390.86
2016-10-14,108.9,112.0,103.0,105.9,104.25,289452.0,310.73
2016-10-17,105.55,108.65,104.0,105.25,105.9,135476.0,144.21
2016-10-18,107.1,107.55,101.2,102.2,102.05,129002.0,133.85
2016-10-19,102.2,103.1,96.1,100.0,99.75,168025.0,167.6
2016-10-20,100.85,101.0,94.1,95.5,95.85,112169.0,107.74
2016-10-21,95.55,109.9,93.55,103.4,103.6,487351.0,511.54
2016-10-24,104.5,108.45,99.2,103.5,104.2,176379.0,183.94
2016-10-25,104.8,108.0,96.65,102.0,101.1,105090.0,110.05
2016-10-26,101.0,104.35,98.25,99.45,99.35,79839.0,80.36
2016-10-27,100.0,106.6,99.45,103.0,103.05,158074.0,164.41
2016-10-28,103.95,106.5,101.55,103.0,102.35,75928.0,78.98
2016-10-30,103.4,104.0,101.9,102.0,102.5,20021.0,20.57
2016-11-01,104.3,104.5,99.15,100.0,99.9,67305.0,68.45
2016-11-02,99.8,104.8,96.3,102.0,101.35,115930.0,116.42
2016-11-03,102.65,104.1,97.5,98.0,98.85,71909.0,72.48
2016-11-04,100.5,101.0,92.8,93.35,93.9,89238.0,85.41
2016-11-07,96.5,99.9,92.95,94.0,94.85,82134.0,79.36
2016-11-08,95.1,98.0,94.55,94.65,94.95,54664.0,52.36
