Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-12-06,75.0,80.5,67.2,67.9,68.9,29407319.0,21623.29
2010-12-07,69.0,69.45,63.6,66.0,65.9,3925519.0,2571.76
2010-12-08,64.9,66.0,62.45,63.05,63.15,796185.0,510.97
2010-12-09,62.1,64.0,55.2,59.1,58.35,969103.0,571.96
2010-12-10,57.5,58.95,56.5,58.2,57.45,381362.0,218.11
2010-12-13,57.5,58.4,51.0,56.7,57.1,271608.0,153.74
2010-12-14,55.1,57.4,55.1,55.3,55.85,167891.0,93.87
2010-12-15,56.0,57.0,54.25,54.95,54.85,175872.0,97.85
2010-12-16,56.5,63.5,53.1,59.8,59.95,1375260.0,831.01
2010-12-20,57.85,62.8,56.0,58.2,58.95,382846.0,229.48
2010-12-21,59.0,61.0,58.5,58.8,59.4,209989.0,125.29
2010-12-22,59.4,61.85,59.0,59.55,59.4,193255.0,116.88
2010-12-23,60.4,60.5,57.55,57.6,58.05,68174.0,40.15
2010-12-24,58.6,60.0,57.7,58.5,58.7,124876.0,73.19
2010-12-27,58.25,59.8,58.05,58.75,58.45,57219.0,33.66
2010-12-28,58.0,59.4,57.75,57.8,57.9,42672.0,24.85
2010-12-29,58.4,58.85,57.5,57.75,57.95,43081.0,25.01
2010-12-30,56.2,58.5,56.2,57.0,57.3,47110.0,27.17
2010-12-31,58.0,60.75,58.0,58.25,58.45,197270.0,117.02
2011-01-03,59.0,59.7,58.6,58.65,58.85,39486.0,23.35
2011-01-04,58.3,59.4,58.0,58.35,58.55,41033.0,24.09
2011-01-05,57.95,59.0,57.95,58.1,58.15,46959.0,27.4
2011-01-06,58.3,58.95,57.05,57.9,57.95,41347.0,24.05
2011-01-07,58.05,58.55,56.2,57.8,57.15,40669.0,23.4
2011-01-10,55.7,68.5,55.7,57.1,56.85,80108.0,46.12
2011-01-11,57.0,58.45,55.5,57.3,56.5,56391.0,32.04
2011-01-12,57.0,59.5,56.35,59.45,58.35,52855.0,30.27
2011-01-13,56.65,59.2,56.65,58.0,57.65,35755.0,20.83
2011-01-14,57.0,58.15,56.55,57.45,57.65,56537.0,32.55
2011-01-17,56.15,58.25,56.15,57.0,57.05,27430.0,15.68
2011-01-18,57.25,58.1,57.0,57.55,57.7,32869.0,18.92
2011-01-19,58.5,59.0,56.6,56.6,56.95,34889.0,20.02
2011-01-20,55.9,59.3,55.9,59.3,58.95,48358.0,28.17
2011-01-21,58.95,60.0,58.0,59.0,59.0,55961.0,32.94
2011-01-24,62.8,62.8,59.0,60.65,60.3,35143.0,21.14
2011-01-25,60.15,61.7,60.0,60.85,61.15,38190.0,23.19
2011-01-27,61.95,61.95,60.1,60.8,60.75,52210.0,31.87
2011-01-28,60.9,60.95,57.85,58.85,59.0,34689.0,20.54
2011-01-31,55.1,58.85,55.1,56.75,56.8,26083.0,14.9
2011-02-01,56.65,60.0,56.5,57.1,57.25,59300.0,34.41
2011-02-02,58.35,59.25,56.25,56.9,56.85,30277.0,17.45
2011-02-03,56.0,57.95,56.0,57.0,56.9,23688.0,13.47
2011-02-04,57.0,57.85,55.5,55.9,55.95,24205.0,13.74
2011-02-07,56.5,58.9,56.3,58.0,57.5,33874.0,19.34
2011-02-08,57.0,57.75,56.05,56.5,56.5,29550.0,16.89
2011-02-09,56.1,56.8,54.4,54.5,54.65,27803.0,15.43
2011-02-10,55.0,56.5,53.65,54.0,53.9,25888.0,14.12
2011-02-11,54.0,55.0,54.0,55.0,54.8,23257.0,12.74
2011-02-14,55.2,58.0,54.3,56.5,56.1,20788.0,11.74
2011-02-15,56.0,58.0,55.0,58.0,57.6,27619.0,15.61
2011-02-16,57.9,59.5,56.5,58.95,58.3,24659.0,14.2
2011-02-17,59.9,61.0,57.55,58.8,58.75,25589.0,14.95
2011-02-18,57.9,60.15,57.1,59.5,57.85,62659.0,36.39
2011-02-21,60.0,60.0,56.6,58.9,58.55,22743.0,13.16
2011-02-22,57.1,59.0,57.1,58.5,58.2,20786.0,12.1
2011-02-23,58.5,60.7,56.55,57.0,57.05,23673.0,13.85
2011-02-24,57.1,58.6,55.7,56.55,56.1,23363.0,13.29
2011-02-25,58.1,64.75,58.1,62.3,62.9,162368.0,100.88
2011-02-28,63.5,64.5,60.6,61.6,62.15,58945.0,37.32
2011-03-01,62.9,72.8,62.9,68.55,68.5,923048.0,636.56
2011-03-03,68.95,70.5,64.3,66.75,66.75,98459.0,66.7
2011-03-04,68.05,69.0,66.5,66.75,66.9,274125.0,185.35
2011-03-07,67.0,67.9,64.7,67.0,66.9,89146.0,58.55
2011-03-08,65.05,68.0,65.0,67.1,67.05,24465.0,16.4
2011-03-09,68.0,70.9,65.65,69.3,69.9,41734.0,28.57
2011-03-10,69.25,69.9,67.15,67.5,67.7,25270.0,17.29
2011-03-11,67.5,68.5,65.1,65.9,65.7,32901.0,22.01
2011-03-14,64.05,67.55,64.0,66.05,66.0,32252.0,21.2
2011-03-15,64.0,67.75,64.0,66.0,66.0,64764.0,42.6
2011-03-16,78.7,78.7,66.8,67.5,67.85,44422.0,30.48
2011-03-17,69.9,76.5,65.75,66.75,66.7,242863.0,163.18
2011-03-18,67.2,68.5,65.5,66.0,65.8,130221.0,87.46
2011-03-21,66.3,66.9,64.8,65.0,65.1,20494.0,13.49
2011-03-22,66.5,66.8,65.5,66.8,66.2,115644.0,76.11
2011-03-23,67.2,67.2,65.1,65.2,65.4,45908.0,30.29
2011-03-24,64.45,67.0,64.4,66.6,66.55,23883.0,15.8
2011-03-25,66.95,67.6,65.65,67.0,67.05,26819.0,17.92
