Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-07-11,2165.0,2165.0,2160.0,2160.0,2160.35,16.0,0.35
2012-07-12,2160.0,2160.0,2150.0,2150.0,2150.0,12.0,0.26
2012-07-13,2150.0,2205.0,2150.0,2200.0,2199.75,857.0,18.84
2012-07-16,2200.0,2200.0,2161.3,2190.0,2189.2,216.0,4.69
2012-07-17,2190.0,2190.0,2151.0,2190.0,2189.45,105.0,2.3
2012-07-18,2170.0,2200.0,2166.0,2200.0,2180.8,975.0,21.21
2012-07-19,2188.0,2249.0,2188.0,2244.0,2231.25,535.0,11.89
2012-07-20,2200.5,2220.0,2182.0,2219.9,2206.45,253.0,5.59
2012-07-23,2185.0,2209.95,2185.0,2190.0,2189.95,108.0,2.37
2012-07-24,2185.0,2228.6,2123.25,2204.0,2204.0,105.0,2.3
2012-07-25,2188.0,2188.0,2188.0,2188.0,2188.0,2.0,0.04
2012-07-26,2170.0,2224.75,2170.0,2208.75,2206.85,391.0,8.52
2012-07-27,2275.5,2275.5,2157.0,2157.0,2182.6,5526.0,121.61
2012-07-30,2164.15,2206.9,2164.15,2180.0,2184.8,5466.0,119.42
2012-07-31,2163.55,2235.0,2163.5,2200.0,2213.05,775.0,17.12
2012-08-01,2182.05,2220.0,2180.05,2219.85,2218.2,634.0,14.01
2012-08-02,2181.05,2219.95,2181.05,2200.0,2190.0,3276.0,72.53
2012-08-03,2200.0,2215.0,2190.0,2215.0,2215.0,166.0,3.65
2012-08-06,2215.0,2218.95,2137.1,2200.0,2187.5,5093.0,112.54
2012-08-07,2168.05,2220.0,2168.05,2200.0,2180.95,633.0,13.95
2012-08-08,2224.0,2224.0,2185.0,2210.0,2209.6,269.0,5.94
2012-08-09,2190.0,2225.0,2181.05,2215.0,2209.95,568.0,12.58
2012-08-10,2215.0,2225.0,2191.05,2191.05,2211.9,403.0,8.92
2012-08-13,2219.0,2219.0,2200.0,2210.0,2200.1,324.0,7.13
2012-08-14,2200.0,2200.1,2156.1,2180.0,2172.15,3601.0,79.17
2012-08-16,2183.0,2215.0,2156.2,2215.0,2198.4,345.0,7.57
2012-08-17,2180.3,2225.0,2175.0,2224.9,2217.05,683.0,15.06
2012-08-21,2182.2,2203.0,2179.9,2179.9,2189.55,117.0,2.56
2012-08-22,2190.0,2200.0,2165.6,2165.6,2165.6,73.0,1.59
2012-08-23,2173.3,2197.9,2150.0,2150.0,2156.15,677.0,14.68
2012-08-24,2194.95,2194.95,2121.0,2138.55,2140.85,218.0,4.67
2012-08-27,2122.35,2181.65,2091.1,2095.0,2107.0,174.0,3.69
2012-08-28,2120.0,2185.0,2080.0,2179.9,2167.6,758.0,16.28
2012-08-29,2180.0,2225.0,2131.0,2220.0,2212.65,504.0,11.13
2012-08-30,2186.5,2193.55,2156.0,2160.0,2160.8,254.0,5.51
2012-08-31,2165.0,2210.0,2152.1,2170.0,2168.55,8231.0,179.01
2012-09-03,2170.0,2207.95,2170.0,2180.0,2184.45,86.0,1.88
2012-09-04,2161.05,2197.9,2161.05,2175.1,2175.1,41.0,0.89
2012-09-05,2163.0,2192.45,2151.0,2170.0,2160.05,155.0,3.35
2012-09-06,2156.5,2199.0,2151.0,2198.7,2195.05,429.0,9.32
2012-09-07,2155.0,2189.0,2155.0,2157.0,2168.1,1311.0,28.47
2012-09-08,2161.65,2161.65,2161.65,2161.65,2161.65,30.0,0.65
2012-09-10,2158.0,2235.0,2151.05,2220.0,2211.45,1526.0,33.29
2012-09-11,2219.0,2360.0,2215.4,2350.0,2315.9,3570.0,82.15
2012-09-12,2300.0,2390.0,2225.0,2260.0,2249.8,1613.0,37.45
2012-09-13,2250.0,2296.35,2250.0,2280.0,2276.45,475.0,10.84
2012-09-14,2340.0,2350.0,2231.0,2325.0,2325.85,650.0,15.07
2012-09-17,2310.0,2349.8,2203.5,2280.3,2304.9,7068.0,160.18
2012-09-18,2292.0,2313.0,2251.0,2290.0,2303.25,7866.0,180.33
2012-09-20,2289.7,2299.0,2265.0,2265.0,2272.45,500.0,11.37
2012-09-21,2271.2,2315.0,2255.0,2280.1,2300.2,4179.0,95.72
2012-09-24,2304.3,2304.3,2281.05,2300.0,2299.75,523.0,12.03
2012-09-25,2272.05,2350.0,2272.05,2275.0,2276.6,123.0,2.83
2012-09-26,2277.0,2303.65,2252.0,2260.4,2277.85,135.0,3.09
2012-09-27,2275.0,2300.0,2261.0,2277.0,2294.65,587.0,13.46
2012-09-28,2295.6,2399.0,2271.4,2399.0,2377.8,5030.0,119.31
2012-10-01,2378.0,2380.0,2317.0,2317.0,2335.1,740.0,17.37
2012-10-03,2336.0,2349.95,2285.0,2285.0,2297.1,627.0,14.47
2012-10-04,2350.0,2350.0,2260.0,2260.0,2261.9,482.0,11.01
2012-10-05,2262.8,2296.0,2242.0,2242.0,2266.9,275.0,6.24
2012-10-08,2266.0,2297.3,2230.5,2230.5,2234.75,281.0,6.35
2012-10-09,2235.0,2265.0,2185.05,2199.0,2206.6,777.0,17.31
2012-10-10,2200.0,2239.0,2176.1,2198.0,2194.8,600.0,13.18
2012-10-11,2200.0,2287.0,2185.75,2287.0,2238.85,757.0,16.9
2012-10-12,2277.45,2277.45,2217.25,2225.0,2236.6,40.0,0.9
2012-10-15,2221.0,2238.95,2205.0,2225.0,2233.8,49.0,1.09
2012-10-16,2201.1,2270.35,2201.0,2250.0,2250.45,537.0,12.03
2012-10-17,2222.05,2250.0,2200.0,2205.0,2204.15,88.0,1.95
2012-10-18,2206.05,2237.8,2185.05,2193.05,2193.05,250.0,5.53
2012-10-19,2239.95,2270.0,2195.65,2206.0,2240.15,15451.0,345.34
2012-10-22,2239.95,2290.9,2239.95,2268.0,2268.45,51173.0,1156.61
2012-10-23,2265.0,2339.7,2230.4,2274.05,2275.3,289.0,6.57
2012-10-25,2250.0,2275.0,2250.0,2275.0,2274.4,1046.0,23.79
2012-10-26,2274.0,2276.0,2235.0,2235.0,2235.05,61.0,1.39
2012-10-29,2249.95,2278.0,2211.0,2211.0,2222.6,59.0,1.32
2012-10-30,2208.45,2249.0,2196.0,2196.05,2200.2,411.0,9.13
2012-10-31,2202.0,2255.0,2185.3,2227.0,2228.3,4235.0,94.34
2012-11-01,2185.65,2244.75,2179.95,2244.75,2230.65,1442.0,31.85
2012-11-02,2224.75,2280.1,2220.0,2280.0,2250.4,5568.0,125.29
2012-11-05,2300.0,2300.0,2240.0,2240.0,2244.75,482.0,10.84
2012-11-06,2295.0,2295.0,2211.0,2211.0,2211.8,183.0,4.1
2012-11-07,2216.0,2241.95,2216.0,2235.0,2222.65,21.0,0.47
2012-11-08,2259.85,2275.0,2218.25,2235.0,2238.85,84.0,1.88
2012-11-09,2210.05,2230.0,2190.0,2190.0,2199.5,821.0,18.11
2012-11-12,2200.1,2224.45,2165.0,2165.0,2172.15,259.0,5.67
2012-11-13,2199.0,2199.0,2180.0,2180.0,2182.4,153.0,3.35
2012-11-15,2162.05,2179.95,2127.1,2155.0,2153.05,559.0,12.04
2012-11-16,2183.2,2183.2,2129.0,2132.0,2135.55,8314.0,178.36
2012-11-19,2126.4,2145.0,2075.0,2145.0,2131.15,984.0,20.73
2012-11-20,2110.05,2164.95,2090.0,2090.0,2103.45,73.0,1.54
2012-11-21,2125.0,2143.95,2120.0,2130.0,2125.2,10910.0,231.84
2012-11-22,2169.0,2169.0,2124.0,2125.0,2125.45,682.0,14.54
2012-11-23,2164.35,2164.35,2130.2,2150.0,2150.05,65812.0,1414.95
2012-11-26,2160.0,2199.0,2150.0,2190.0,2190.0,310.0,6.75
2012-11-27,2200.0,2210.0,2195.0,2200.15,2200.1,17383.0,382.43
2012-11-29,2210.0,2380.0,2176.0,2380.0,2310.65,3896.0,89.86
2012-11-30,2300.05,2318.0,2265.1,2300.0,2299.95,7302.0,167.94
