Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-03-14,17.45,17.45,17.0,17.0,17.0,2095.0,0.36
2013-03-15,16.7,16.7,16.35,16.35,16.35,225.0,0.04
2013-03-18,14.75,17.8,14.75,15.15,15.15,849.0,0.14
2013-03-19,14.05,15.0,14.05,15.0,15.0,370.0,0.06
2013-03-20,14.0,14.35,14.0,14.1,14.1,58.0,0.01
2013-03-21,13.0,13.0,13.0,13.0,13.0,4.0,0.0
2013-03-28,13.65,13.65,13.65,13.65,13.65,42.0,0.01
2013-04-02,13.65,14.3,13.65,14.0,14.0,7208.0,0.99
2013-04-03,13.8,14.7,13.8,14.0,14.0,68.0,0.01
2013-04-04,13.55,13.55,13.55,13.55,13.55,1.0,0.0
2013-04-05,13.0,13.0,13.0,13.0,13.0,18.0,0.0
2013-04-09,13.2,13.2,13.2,13.2,13.2,250.0,0.03
2013-04-11,13.85,13.85,13.2,13.2,13.55,1453.0,0.2
2013-04-12,13.0,13.0,13.0,13.0,13.0,100.0,0.01
2013-04-15,13.05,13.05,12.8,12.8,12.8,227.0,0.03
2013-04-16,12.25,12.9,12.25,12.5,12.5,56121.0,7.08
2013-04-22,13.1,13.1,13.05,13.1,13.1,10300.0,1.34
2013-04-23,13.75,13.75,13.7,13.75,13.7,7649.0,1.05
2013-04-25,13.8,13.8,13.6,13.8,13.8,17000.0,2.32
2013-04-26,13.7,14.4,13.55,14.4,14.4,25483.0,3.47
2013-04-29,13.95,14.4,13.7,13.7,13.7,7656.0,1.09
2013-04-30,13.5,13.5,13.5,13.5,13.5,84561.0,11.42
2013-05-02,13.6,14.1,13.5,13.5,13.5,47925.0,6.57
2013-05-03,13.6,13.8,13.6,13.8,13.8,121.0,0.02
2013-05-06,13.8,14.0,13.15,13.15,13.15,3433.0,0.47
2013-05-07,13.15,13.15,13.15,13.15,13.15,200.0,0.03
2013-05-08,13.2,14.45,13.2,14.45,13.9,20451.0,2.73
2013-05-09,14.0,14.0,13.5,13.6,13.6,800.0,0.11
2013-05-10,13.45,13.45,13.45,13.45,13.45,1000.0,0.13
2013-05-14,13.3,13.3,13.3,13.3,13.3,200.0,0.03
2013-05-15,13.5,14.6,13.05,14.6,14.6,13531.0,1.85
2013-05-16,13.3,14.0,13.3,14.0,14.0,1500.0,0.21
2013-05-17,13.75,13.75,13.6,13.6,13.6,1105.0,0.15
2013-05-20,13.75,13.85,13.75,13.85,13.8,2700.0,0.37
2013-05-21,13.5,13.65,12.75,13.25,13.25,12015.0,1.59
2013-05-22,13.85,14.0,11.95,12.25,12.25,63036.0,8.12
2013-05-23,11.5,11.9,11.5,11.9,11.5,1204.0,0.13
2013-05-24,12.25,12.25,11.1,11.9,11.25,1660.0,0.19
2013-05-27,11.9,11.9,11.85,11.85,11.85,800.0,0.1
2013-05-29,12.5,12.85,11.4,12.0,12.0,43404.0,5.26
2013-05-30,11.0,11.9,10.8,11.9,11.85,224480.0,25.53
2013-05-31,11.0,11.95,11.0,11.95,11.75,264178.0,30.8
2013-06-03,11.75,12.6,11.75,11.75,11.75,1581.0,0.19
2013-06-04,10.9,12.4,10.9,12.4,12.4,2500.0,0.28
2013-06-05,11.5,13.0,11.5,11.55,11.55,3545.0,0.42
2013-06-06,12.0,12.3,11.5,12.0,12.0,4205.0,0.5
2013-06-07,12.25,12.55,11.7,11.8,11.8,94490.0,11.3
2013-06-10,11.9,11.9,11.15,11.8,11.8,29200.0,3.44
2013-06-11,11.1,11.2,11.0,11.05,11.05,40501.0,4.48
2013-06-12,11.9,12.1,10.1,11.0,10.2,80177.0,8.56
2013-06-13,10.65,10.65,9.4,9.6,9.45,7102.0,0.7
2013-06-14,9.2,9.9,9.2,9.7,9.7,4400.0,0.42
2013-06-17,10.0,10.45,10.0,10.2,10.2,2101.0,0.21
2013-06-18,10.15,10.15,10.15,10.15,10.15,500.0,0.05
2013-06-19,10.0,10.2,9.6,10.0,9.95,94100.0,9.44
2013-06-20,10.8,10.85,9.8,9.8,9.8,4300.0,0.45
2013-06-21,9.7,10.0,9.7,9.75,9.75,1420.0,0.14
2013-06-24,9.7,10.5,9.7,10.25,10.25,2471.0,0.25
2013-06-25,10.15,10.15,9.25,9.25,9.25,5742.0,0.54
2013-06-26,9.2,9.4,8.8,9.25,9.15,112552.0,10.19
2013-06-27,9.2,9.9,9.0,9.9,9.9,260.0,0.02
2013-06-28,9.0,10.25,8.95,9.5,9.65,7115.0,0.67
2013-07-01,9.5,10.45,9.3,10.45,10.45,6469.0,0.66
2013-07-02,10.4,10.4,9.6,9.6,9.65,53054.0,5.36
2013-07-03,9.05,9.9,9.05,9.45,9.45,715.0,0.07
2013-07-04,9.0,9.9,9.0,9.7,9.7,115607.0,11.24
2013-07-05,8.85,9.5,8.85,9.2,9.2,50105.0,4.76
2013-07-08,9.7,9.95,9.1,9.3,9.3,1945.0,0.19
2013-07-09,9.0,9.7,9.0,9.65,9.65,54522.0,5.26
2013-07-10,9.15,9.15,9.15,9.15,9.15,30.0,0.0
2013-07-11,9.0,10.95,9.0,9.55,9.55,1282.0,0.12
2013-07-12,9.05,9.8,9.05,9.6,9.6,53126.0,5.15
2013-07-15,9.3,10.0,9.3,9.55,9.55,6399.0,0.61
2013-07-16,9.55,10.0,9.5,10.0,10.0,20980.0,2.1
2013-07-17,9.6,9.6,9.4,9.4,9.4,2300.0,0.22
2013-07-18,11.25,11.25,9.3,9.3,9.3,16155.0,1.52
2013-07-19,9.75,9.75,9.05,9.15,9.15,7700.0,0.74
2013-07-22,9.1,9.9,9.1,9.1,9.1,20505.0,1.87
2013-07-23,9.9,9.9,9.4,9.75,9.75,1020.0,0.1
2013-07-24,9.0,9.45,9.0,9.45,9.15,25120.0,2.3
2013-07-25,9.0,9.45,9.0,9.45,9.4,44.0,0.0
2013-07-26,9.4,9.4,9.0,9.1,9.1,2723.0,0.25
2013-07-29,9.0,9.9,9.0,9.6,9.6,79222.0,7.3
2013-07-30,9.0,9.5,8.8,8.8,8.85,22961.0,2.08
2013-07-31,7.25,9.75,7.25,8.8,8.9,26.0,0.0
2013-08-01,8.8,9.05,8.4,8.95,8.95,20967.0,1.86
2013-08-02,8.9,8.9,8.25,8.85,8.85,5.0,0.0
2013-08-05,8.0,9.3,8.0,9.0,9.0,58.0,0.0
2013-08-07,8.95,8.95,8.55,8.95,8.95,2475.0,0.22
