Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-02-12,1614.9,1649.95,1570.0,1649.95,1610.6,64.0,1.03
2015-02-13,1619.95,1790.0,1619.95,1660.0,1662.1,603.0,10.26
2015-02-16,1625.0,1625.0,1431.05,1445.0,1452.05,860.0,12.61
2015-02-18,1499.0,1519.0,1429.95,1440.05,1456.05,123.0,1.8
2015-02-19,1305.0,1430.0,1225.0,1404.95,1397.15,332.0,4.59
2015-02-20,1372.0,1440.0,1311.0,1400.0,1400.0,35.0,0.47
2015-02-23,1238.0,1375.0,1238.0,1325.0,1332.2,75.0,1.0
2015-02-24,1345.0,1345.0,1300.0,1300.0,1300.75,7.0,0.09
2015-02-25,1242.0,1331.0,1242.0,1266.0,1266.0,47.0,0.6
2015-02-26,1209.0,1251.2,1209.0,1230.0,1230.9,51.0,0.63
2015-02-28,1250.0,1250.0,1230.0,1230.0,1246.65,15.0,0.19
2015-03-02,1191.0,1249.0,1185.1,1190.2,1203.4,26.0,0.31
2015-03-03,1210.0,1220.0,1210.0,1220.0,1220.0,13.0,0.16
2015-03-04,1215.0,1235.0,1135.0,1192.0,1192.5,355.0,4.29
2015-03-05,1200.0,1200.0,1200.0,1200.0,1200.0,1.0,0.01
2015-03-09,1126.0,1199.0,1125.0,1199.0,1175.05,28.0,0.32
2015-03-10,1199.0,1199.0,1140.0,1150.0,1150.0,45.0,0.52
2015-03-11,1150.0,1194.0,1135.0,1194.0,1194.0,26.0,0.3
2015-03-12,1248.0,1248.0,1125.0,1150.0,1142.75,320.0,3.67
2015-03-13,1148.0,1185.0,1040.0,1099.95,1066.8,847.0,9.16
2015-03-16,1074.0,1098.0,1050.0,1062.15,1062.15,236.0,2.55
2015-03-17,1062.0,1080.05,1062.0,1071.0,1071.0,87.0,0.92
2015-03-18,1089.0,1089.0,1070.0,1080.0,1080.0,89.0,0.95
2015-03-19,1025.0,1124.0,1022.0,1031.0,1044.7,78.0,0.84
2015-03-20,1050.0,1075.0,1035.0,1070.0,1070.0,367.0,3.85
2015-03-23,1020.0,1060.0,1020.0,1060.0,1060.0,407.0,4.18
2015-03-24,1080.0,1080.0,1080.0,1080.0,1080.0,5.0,0.05
2015-03-25,1121.75,1121.75,1080.0,1090.0,1085.0,33.0,0.37
2015-03-26,1068.0,1068.0,1068.0,1068.0,1068.0,2.0,0.02
2015-03-27,1060.0,1060.0,1025.0,1025.0,1025.0,69.0,0.73
2015-03-30,1031.0,1031.0,1031.0,1031.0,1031.0,1.0,0.01
2015-03-31,1020.0,1021.0,1020.0,1021.0,1021.0,4.0,0.04
2015-04-01,1038.0,1090.0,1038.0,1090.0,1089.15,43.0,0.46
2015-04-06,1200.0,1200.0,1039.0,1039.0,1056.85,63.0,0.68
2015-04-07,1055.0,1071.0,1050.0,1071.0,1064.45,178.0,1.88
2015-04-08,1062.0,1090.0,1048.0,1048.0,1048.0,127.0,1.34
2015-04-09,1157.5,1157.5,1062.0,1133.9,1108.9,74.0,0.81
2015-04-10,1098.0,1126.8,1091.0,1124.5,1124.5,41.0,0.46
2015-04-13,1138.0,1138.9,1070.0,1090.0,1101.55,859.0,9.45
2015-04-15,1061.0,1319.95,1015.0,1205.1,1216.15,997.0,12.17
2015-04-16,1297.5,1340.0,1200.0,1284.0,1281.7,1182.0,15.17
2015-04-17,1225.25,1270.0,1190.0,1210.0,1235.05,172.0,2.08
2015-04-20,1160.0,1204.0,1160.0,1165.0,1165.0,20.0,0.23
2015-04-21,1156.0,1198.0,1105.0,1174.0,1174.0,120.0,1.4
2015-04-22,1101.0,1189.0,1101.0,1138.0,1131.65,126.0,1.44
2015-04-23,1138.0,1159.0,1058.0,1119.8,1115.45,111.0,1.25
2015-04-24,1061.5,1064.25,1061.5,1063.35,1063.35,20.0,0.21
2015-04-27,1026.0,1085.0,1026.0,1040.0,1040.0,46.0,0.48
2015-04-28,1039.9,1074.0,1039.9,1074.0,1074.0,38.0,0.4
2015-04-29,1089.0,1090.1,1089.0,1090.1,1090.1,14.0,0.15
2015-04-30,1041.0,1100.0,1041.0,1100.0,1100.0,16.0,0.17
2015-05-04,1056.0,1100.0,1050.0,1060.25,1060.25,265.0,2.82
2015-05-05,1051.0,1070.0,1050.1,1070.0,1070.0,25.0,0.26
2015-05-06,1050.1,1065.0,1049.9,1050.0,1050.0,183.0,1.92
2015-05-07,1075.0,1075.0,1020.0,1021.0,1021.0,36.0,0.38
2015-05-08,1090.0,1090.0,1042.5,1047.5,1048.75,36.0,0.39
2015-05-11,1117.0,1117.0,1044.95,1050.05,1050.5,95.0,1.02
2015-05-12,1032.0,1078.95,1032.0,1040.0,1040.0,50.0,0.52
2015-05-13,1060.0,1060.0,1030.0,1030.0,1030.65,91.0,0.95
2015-05-14,1045.1,1045.1,1045.1,1045.1,1045.1,44.0,0.46
2015-05-15,1045.1,1045.1,1045.1,1045.1,1045.1,4.0,0.04
2015-05-18,1050.0,1143.0,1022.0,1050.0,1068.25,157.0,1.67
2015-05-19,1050.0,1050.0,1050.0,1050.0,1050.0,9.0,0.09
2015-05-20,1051.0,1051.0,1050.0,1050.0,1050.0,4.0,0.04
2015-05-21,1050.0,1050.0,1040.0,1040.0,1040.0,22.0,0.23
2015-05-22,1050.0,1050.0,1050.0,1050.0,1050.0,5.0,0.05
2015-05-25,1085.0,1085.0,1022.0,1022.0,1022.0,4.0,0.04
2015-05-26,1075.0,1075.0,1075.0,1075.0,1075.0,2.0,0.02
2015-05-27,1011.0,1070.0,951.0,1018.5,1018.75,60.0,0.59
2015-05-28,1059.0,1059.0,1012.0,1012.0,1012.0,25.0,0.26
2015-05-29,1000.0,1100.0,1000.0,1089.0,1094.75,528.0,5.62
2015-06-01,1096.9,1119.9,1015.5,1058.0,1063.3,113.0,1.21
2015-06-02,1017.55,1100.0,1007.0,1007.0,1088.25,77.0,0.83
2015-06-03,1005.0,1049.0,1005.0,1040.0,1040.0,27.0,0.28
2015-06-04,1040.0,1040.2,1025.0,1025.0,1025.0,124.0,1.28
2015-06-08,1020.0,1024.95,1005.0,1005.0,1009.45,24.0,0.24
2015-06-09,1001.0,1001.0,990.0,991.05,991.8,35.0,0.35
2015-06-10,991.8,1026.0,990.1,1026.0,1026.0,17.0,0.17
2015-06-11,1000.0,1000.0,1000.0,1000.0,1000.0,10.0,0.1
2015-06-15,975.0,1019.8,970.25,1019.8,1011.2,36.0,0.36
2015-06-16,980.0,1000.0,975.2,1000.0,995.85,250.0,2.46
2015-06-17,1019.0,1019.0,1019.0,1019.0,1019.0,1.0,0.01
2015-06-18,980.0,1020.0,976.0,1020.0,1020.0,165.0,1.68
2015-06-19,1039.0,1039.0,1039.0,1039.0,1039.0,42.0,0.44
2015-06-22,1019.0,1035.0,1019.0,1035.0,1035.0,34.0,0.35
2015-06-24,1029.9,1069.0,1029.9,1069.0,1069.0,22.0,0.23
2015-06-25,1005.1,1055.0,1005.1,1054.0,1054.0,1614.0,16.72
2015-06-26,1042.0,1042.0,1000.0,1029.0,1029.65,149.0,1.5
2015-06-29,1031.0,1040.0,1029.8,1040.0,1035.25,62.0,0.64
2015-06-30,1034.0,1034.0,1034.0,1034.0,1034.0,42.0,0.43
2015-07-01,1044.9,1050.0,1020.0,1020.0,1026.65,174.0,1.8
2015-07-02,1035.0,1040.0,1006.0,1006.0,1013.05,87.0,0.89
2015-07-03,1020.0,1049.9,1008.0,1008.0,1012.55,116.0,1.17
